State,Year,TimeInterval,IP,ED
ME,2016,Q2,346.1091265,425.7262433
ME,2016,Q3,363.8352016,450.0620413
ME,2016,Q4,327.4817256,397.7851419
ME,2017,Annual,322.604666,396.6931705
ME,2017,Q1,332.458061,405.5687477
ME,2017,Q2,325.8389865,396.8436041
ME,2017,Q3,323.1311833,410.0817531
ME,2017,Q4,308.9904332,374.2785773
ME,2018,Annual,331.7440236,365.1360368
ME,2018,Q1,316.9614919,357.4821371
ME,2018,Q2,343.9752554,383.8955948
ME,2018,Q3,332.5694441,377.2922304
ME,2018,Q4,333.4699029,341.8741849
ME,2019,Q1,331.6974865,NA
ME,2019,Q2,NA,NA
MI,2005,Annual,148.7660574,NA
MI,2005,Q1,143.409413,NA
MI,2005,Q2,143.425861,NA
MI,2005,Q3,156.3657692,NA
MI,2005,Q4,151.8631864,NA
MI,2006,Annual,163.1784894,NA
MI,2006,Q1,163.3166572,NA
MI,2006,Q2,160.4838233,NA
MI,2006,Q3,166.1017021,NA
MI,2006,Q4,162.8117748,NA
MI,2007,Annual,166.0008828,NA
MI,2007,Q1,161.9513966,NA
MI,2007,Q2,164.3921352,NA
MI,2007,Q3,166.173849,NA
MI,2007,Q4,171.4861503,NA
MI,2008,Annual,178.1078622,NA
MI,2008,Q1,169.3181792,NA
MI,2008,Q2,180.2996328,NA
MI,2008,Q3,184.3893131,NA
MI,2008,Q4,178.4243238,NA
MI,2009,Annual,189.1100576,NA
MI,2009,Q1,176.5531876,NA
MI,2009,Q2,188.2737428,NA
MI,2009,Q3,200.6283827,NA
MI,2009,Q4,190.9849175,NA
MI,2010,Annual,204.6984479,NA
MI,2010,Q1,185.4441598,NA
MI,2010,Q2,202.8875005,NA
MI,2010,Q3,214.8128798,NA
MI,2010,Q4,215.6492515,NA
MI,2011,Annual,219.742375,NA
MI,2011,Q1,217.3450498,NA
MI,2011,Q2,220.364822,NA
MI,2011,Q3,226.5550195,NA
MI,2011,Q4,214.7046086,NA
MI,2012,Annual,220.8733351,NA
MI,2012,Q1,220.5189522,NA
MI,2012,Q2,219.4879565,NA
MI,2012,Q3,224.0200589,NA
MI,2012,Q4,219.4663727,NA
MI,2013,Annual,229.724987,NA
MI,2013,Q1,213.6776975,NA
MI,2013,Q2,232.9005359,NA
MI,2013,Q3,247.135298,NA
MI,2013,Q4,225.1864167,NA
MI,2014,Annual,229.5650176,NA
MI,2014,Q1,220.9809747,NA
MI,2014,Q2,227.0939061,NA
MI,2014,Q3,238.3165667,NA
MI,2014,Q4,231.8686231,NA
MI,2015,Annual,260.7043097,NA
MI,2015,Q1,228.2008695,NA
MI,2015,Q2,238.7680275,NA
MI,2015,Q3,250.3752688,NA
MI,2015,Q4,325.4730731,NA
MI,2016,Annual,335.740811,NA
MI,2016,Q1,323.1127069,NA
MI,2016,Q2,329.5233708,NA
MI,2016,Q3,349.1558031,NA
MI,2016,Q4,341.1713633,NA
MI,2017,Annual,342.7609945,NA
MI,2017,Q1,348.4262596,NA
MI,2017,Q2,350.2810396,NA
MI,2017,Q3,345.7265631,NA
MI,2017,Q4,326.6101157,NA
MI,2018,Annual,316.4184324,NA
MI,2018,Q1,324.3073106,NA
MI,2018,Q2,326.2771761,NA
MI,2018,Q3,316.7036347,NA
MI,2018,Q4,298.385608,NA
MI,2019,Q1,288.7256441,NA
MI,2019,Q2,285.2956378,NA
MN,2005,Annual,155.0805378,58.63138311
MN,2005,Q1,145.9320261,54.24132414
MN,2005,Q2,155.611174,56.37967264
MN,2005,Q3,164.7537214,66.39174375
MN,2005,Q4,154.0252295,57.51279192
MN,2006,Annual,149.6864476,59.53421563
MN,2006,Q1,153.3140743,57.34431517
MN,2006,Q2,141.945826,61.22189137
MN,2006,Q3,150.3273039,60.79210125
MN,2006,Q4,153.1585864,58.77855474
MN,2007,Annual,165.0126453,55.05055729
MN,2007,Q1,165.8706908,55.52797149
MN,2007,Q2,159.8477171,56.16314173
MN,2007,Q3,163.7319589,55.98960985
MN,2007,Q4,170.6002144,52.52150608
MN,2008,Annual,185.6615477,63.71154186
MN,2008,Q1,171.6265135,58.72951683
MN,2008,Q2,190.0549448,60.97664084
MN,2008,Q3,187.7451958,67.57323776
MN,2008,Q4,193.2195369,67.56677203
MN,2009,Annual,204.8603342,73.18438593
MN,2009,Q1,194.0904685,70.02191873
MN,2009,Q2,210.4249845,73.64992531
MN,2009,Q3,206.8267804,78.37923871
MN,2009,Q4,208.0991033,70.68646099
MN,2010,Annual,194.2151031,83.98963903
MN,2010,Q1,186.1439433,75.03554483
MN,2010,Q2,195.5508612,85.85669068
MN,2010,Q3,195.8431971,90.84551123
MN,2010,Q4,199.3224108,84.22080937
MN,2011,Annual,210.1791976,93.70769946
MN,2011,Q1,205.5814584,86.13087557
MN,2011,Q2,201.9540269,91.2688337
MN,2011,Q3,223.0925275,102.6195172
MN,2011,Q4,210.0887776,94.81157138
MN,2012,Annual,209.9596376,103.3681446
MN,2012,Q1,208.2140012,102.8577702
MN,2012,Q2,205.3604683,96.97406164
MN,2012,Q3,211.7628346,106.8137293
MN,2012,Q4,214.5012464,106.8270174
MN,2013,Annual,225.9693562,112.9803189
MN,2013,Q1,222.5008945,107.1673923
MN,2013,Q2,229.5491055,111.2479356
MN,2013,Q3,234.6683325,127.8446323
MN,2013,Q4,217.1590924,105.6613154
MN,2014,Annual,247.2285408,134.1163427
MN,2014,Q1,232.7030345,125.4551126
MN,2014,Q2,254.4544271,132.1329178
MN,2014,Q3,251.1364181,144.7315115
MN,2014,Q4,250.6202834,134.1458289
MN,2015,Annual,275.7750913,153.0240914
MN,2015,Q1,249.9708264,134.9139154
MN,2015,Q2,264.2152189,148.9951826
MN,2015,Q3,265.3839896,162.7732765
MN,2015,Q4,323.5303302,165.4139911
MN,2016,Annual,334.861053,191.2321166
MN,2016,Q1,316.8281195,172.8625043
MN,2016,Q2,344.7664672,194.1812123
MN,2016,Q3,335.4053065,198.1643896
MN,2016,Q4,342.4443188,199.7203601
MN,2017,Annual,363.171917,188.3678029
MN,2017,Q1,358.6999869,196.8123169
MN,2017,Q2,367.7898591,184.8596485
MN,2017,Q3,358.646185,195.7305618
MN,2017,Q4,367.5516368,176.0686843
MN,2018,Annual,354.1537481,164.4130881
MN,2018,Q1,350.4224254,155.3284159
MN,2018,Q2,364.6052713,163.7765465
MN,2018,Q3,343.8128943,170.9241098
MN,2018,Q4,357.7744015,167.6232801
MN,2019,Q1,327.4692833,NA
MN,2019,Q2,328.5692832,NA
MO,2005,Annual,124.2864232,57.49966518
MO,2005,Q1,113.2561969,52.91209948
MO,2005,Q2,126.461503,60.03414661
MO,2005,Q3,130.840991,63.49036887
MO,2005,Q4,126.587002,53.56204575
MO,2006,Annual,137.9373958,65.10674188
MO,2006,Q1,129.2530581,56.59585348
MO,2006,Q2,135.6056019,72.8109682
MO,2006,Q3,147.3597883,72.17704693
MO,2006,Q4,139.5311349,58.84309891
MO,2007,Annual,152.3100022,67.09928864
MO,2007,Q1,140.7650558,60.15582611
MO,2007,Q2,152.1991855,69.37925833
MO,2007,Q3,158.8696247,72.79810329
MO,2007,Q4,157.4061427,66.06396682
MO,2008,Annual,168.5394628,83.11767969
MO,2008,Q1,165.1837708,78.66906763
MO,2008,Q2,156.1572064,80.02169138
MO,2008,Q3,180.4291941,89.36652362
MO,2008,Q4,172.3876801,84.41343614
MO,2009,Annual,194.5043936,95.56973677
MO,2009,Q1,176.9505259,82.1167763
MO,2009,Q2,195.2223574,98.02940223
MO,2009,Q3,204.2230797,104.5597781
MO,2009,Q4,201.6216113,97.57299042
MO,2010,Annual,215.3117409,115.8647138
MO,2010,Q1,199.141481,106.9966891
MO,2010,Q2,220.5854018,115.729007
MO,2010,Q3,220.3088881,128.0875845
MO,2010,Q4,221.2111926,112.6455745
MO,2011,Annual,237.223256,126.9568441
MO,2011,Q1,225.5758773,119.1960197
MO,2011,Q2,231.5260904,128.2467187
MO,2011,Q3,248.4782699,130.3991912
MO,2011,Q4,243.3127864,129.985447
MO,2012,Annual,250.6868567,136.0221915
MO,2012,Q1,244.0388721,122.0551513
MO,2012,Q2,256.5883616,139.6094467
MO,2012,Q3,261.3865118,151.1670481
MO,2012,Q4,240.7336814,131.2571199
MO,2013,Annual,243.3787605,138.6794528
MO,2013,Q1,235.4887576,129.7302529
MO,2013,Q2,243.7866458,146.8994586
MO,2013,Q3,260.4139365,152.6004303
MO,2013,Q4,233.8257024,125.4876692
MO,2014,Annual,261.4094737,169.4380066
MO,2014,Q1,229.781609,145.6441616
MO,2014,Q2,260.9468461,178.4952322
MO,2014,Q3,284.4939504,182.535384
MO,2014,Q4,270.4154895,171.0772485
MO,2015,Annual,306.8451523,203.5167333
MO,2015,Q1,278.6301461,174.8128018
MO,2015,Q2,288.7941695,189.7438747
MO,2015,Q3,304.5015789,220.1821369
MO,2015,Q4,355.4547147,229.3281199
MO,2016,Annual,353.9897641,256.6341407
MO,2016,Q1,355.3042202,240.1263942
MO,2016,Q2,348.6754568,260.4322471
MO,2016,Q3,361.7135344,280.9991561
MO,2016,Q4,350.2658449,244.9787655
MO,2017,Annual,345.6127624,245.8401504
MO,2017,Q1,344.126633,249.8805069
MO,2017,Q2,349.2150462,255.1804076
MO,2017,Q3,351.9327529,261.723495
MO,2017,Q4,337.1766175,216.5761921
MO,2018,Annual,324.9253876,238.1120122
MO,2018,Q1,329.12377,221.3900661
MO,2018,Q2,327.3014628,244.6013696
MO,2018,Q3,331.2633117,257.2204726
MO,2018,Q4,312.0130058,229.2361405
MO,2019,Q1,306.9022329,NA
MO,2019,Q2,NA,NA
MS,2005,Annual,NA,NA
MS,2005,Q1,NA,NA
MS,2005,Q2,NA,NA
MS,2005,Q3,NA,NA
MS,2005,Q4,NA,NA
MS,2006,Annual,NA,NA
MS,2006,Q1,NA,NA
MS,2006,Q2,NA,NA
MS,2006,Q3,NA,NA
MS,2006,Q4,NA,NA
MS,2007,Annual,NA,NA
MS,2007,Q1,NA,NA
MS,2007,Q2,NA,NA
MS,2007,Q3,NA,NA
MS,2007,Q4,NA,NA
MS,2008,Annual,NA,NA
MS,2008,Q1,NA,NA
MS,2008,Q2,NA,NA
MS,2008,Q3,NA,NA
MS,2008,Q4,NA,NA
MS,2009,Annual,NA,NA
MS,2009,Q1,NA,NA
MS,2009,Q2,NA,NA
MS,2009,Q3,NA,NA
MS,2009,Q4,NA,NA
MS,2010,Annual,NA,NA
MS,2010,Q1,NA,NA
MS,2010,Q2,NA,NA
MS,2010,Q3,NA,NA
MS,2010,Q4,NA,NA
MS,2011,Annual,NA,NA
MS,2011,Q1,NA,NA
MS,2011,Q2,NA,NA
MS,2011,Q3,NA,NA
MS,2011,Q4,NA,NA
MS,2012,Annual,NA,NA
MS,2012,Q1,NA,NA
MS,2012,Q2,NA,NA
MS,2012,Q3,NA,NA
MS,2012,Q4,NA,NA
MS,2013,Annual,168.0406271,NA
MS,2013,Q1,124.5915809,NA
MS,2013,Q2,159.9383356,NA
MS,2013,Q3,174.5736736,NA
MS,2013,Q4,213.0589184,NA
MS,2014,Annual,223.5520376,NA
MS,2014,Q1,214.6538022,NA
MS,2014,Q2,229.804453,NA
MS,2014,Q3,220.6395415,NA
MS,2014,Q4,229.110354,NA
MS,2015,Annual,166.1433826,NA
MS,2015,Q1,150.9061713,NA
MS,2015,Q2,156.9731042,NA
MS,2015,Q3,158.6451583,NA
MS,2015,Q4,198.0490965,NA
MS,2016,Annual,204.4015225,118.971731
MS,2016,Q1,192.0774114,119.3202958
MS,2016,Q2,200.7486578,115.3347208
MS,2016,Q3,225.0973769,124.4570299
MS,2016,Q4,199.6826439,116.7748774
MS,2017,Annual,225.9216207,130.1055476
MS,2017,Q1,236.7056763,122.8270722
MS,2017,Q2,222.8009043,141.7801088
MS,2017,Q3,229.4863714,131.7509889
MS,2017,Q4,214.6935309,124.0640205
MS,2018,Annual,199.0310536,115.808408
MS,2018,Q1,194.5068192,109.3164377
MS,2018,Q2,207.576618,123.7856065
MS,2018,Q3,209.7673966,120.5679776
MS,2018,Q4,184.2733807,109.5636102
MS,2019,Q1,194.4147243,114.834683
MS,2019,Q2,195.534994,118.3053123
MT,2005,Annual,NA,NA
MT,2005,Q1,NA,NA
MT,2005,Q2,NA,NA
MT,2005,Q3,NA,NA
MT,2005,Q4,NA,NA
MT,2006,Annual,NA,NA
MT,2006,Q1,NA,NA
MT,2006,Q2,NA,NA
MT,2006,Q3,NA,NA
MT,2006,Q4,NA,NA
MT,2007,Annual,NA,NA
MT,2007,Q1,NA,NA
MT,2007,Q2,NA,NA
MT,2007,Q3,NA,NA
MT,2007,Q4,NA,NA
MT,2008,Annual,NA,NA
MT,2008,Q1,NA,NA
MT,2008,Q2,NA,NA
MT,2008,Q3,NA,NA
MT,2008,Q4,NA,NA
MT,2009,Annual,171.5487075,NA
MT,2009,Q1,164.6779625,NA
MT,2009,Q2,167.8149811,NA
MT,2009,Q3,179.8441453,NA
MT,2009,Q4,173.8577413,NA
MT,2010,Annual,164.3857913,NA
MT,2010,Q1,152.9189074,NA
MT,2010,Q2,168.8588404,NA
MT,2010,Q3,161.8803229,NA
MT,2010,Q4,173.8850945,NA
MT,2011,Annual,176.4469844,NA
MT,2011,Q1,185.4431221,NA
MT,2011,Q2,189.2860309,NA
MT,2011,Q3,165.23714,NA
MT,2011,Q4,165.8216445,NA
MT,2012,Annual,171.2896944,NA
MT,2012,Q1,165.4376046,NA
MT,2012,Q2,166.1643024,NA
MT,2012,Q3,159.9581864,NA
MT,2012,Q4,193.5986844,NA
MT,2013,Annual,183.4447056,NA
MT,2013,Q1,178.6918904,NA
MT,2013,Q2,160.9607054,NA
MT,2013,Q3,181.7680946,NA
MT,2013,Q4,212.3581318,NA
MT,2014,Annual,213.570884,131.6503898
MT,2014,Q1,243.5081186,119.4055147
MT,2014,Q2,220.3793062,124.8426235
MT,2014,Q3,190.5826782,132.4014758
MT,2014,Q4,199.8134331,149.9519454
MT,2015,Annual,239.9447666,145.6874246
MT,2015,Q1,206.9594844,128.3299049
MT,2015,Q2,237.5518246,141.8478702
MT,2015,Q3,233.4636877,149.0006983
MT,2015,Q4,281.8040696,163.5712252
MT,2016,Annual,301.3983322,183.168546
MT,2016,Q1,302.6039864,177.9497913
MT,2016,Q2,314.5681369,191.0250317
MT,2016,Q3,290.9732668,182.5310383
MT,2016,Q4,297.4479389,181.1683226
MT,2017,Annual,294.4105885,176.5427704
MT,2017,Q1,309.7479909,175.1986802
MT,2017,Q2,298.8868958,201.7449797
MT,2017,Q3,284.4683033,181.9975545
MT,2017,Q4,284.5391638,147.2298671
MT,2018,Annual,267.8140009,153.4165439
MT,2018,Q1,286.5819598,136.0879438
MT,2018,Q2,261.8817186,175.2432252
MT,2018,Q3,257.3484371,156.4301857
MT,2018,Q4,265.4438883,145.9048211
MT,2019,Q1,NA,NA
MT,2019,Q2,NA,NA
NB,2005,Annual,NA,NA
NB,2006,Annual,NA,NA
NB,2007,Annual,NA,NA
NB,2008,Annual,NA,NA
NB,2009,Annual,NA,NA
NB,2010,Annual,NA,NA
NB,2011,Annual,NA,NA
NB,2012,Annual,NA,NA
NB,2013,Annual,NA,NA
NB,2014,Annual,NA,NA
NB,2015,Annual,NA,NA
NB,2016,Annual,NA,NA
NB,2017,Annual,NA,NA
NB,2018,Annual,NA,NA
NC,2005,Annual,95.11675257,NA
NC,2005,Q1,87.62328159,NA
NC,2005,Q2,98.14136861,NA
NC,2005,Q3,99.051814,NA
NC,2005,Q4,95.65054607,NA
NC,2006,Annual,102.2452641,NA
NC,2006,Q1,98.57952187,NA
NC,2006,Q2,98.55333456,NA
NC,2006,Q3,108.460079,NA
NC,2006,Q4,103.3881212,NA
NC,2007,Annual,111.1874309,72.35377432
NC,2007,Q1,109.2370997,68.4679059
NC,2007,Q2,117.1626937,74.80605622
NC,2007,Q3,112.6743255,76.84391555
NC,2007,Q4,105.6756049,69.2972196
NC,2008,Annual,115.7536339,83.20376779
NC,2008,Q1,112.009005,71.38271214
NC,2008,Q2,115.7774177,81.70781531
NC,2008,Q3,119.1506379,91.58099008
NC,2008,Q4,116.0774749,88.1435536
NC,2009,Annual,128.7376218,114.9725198
NC,2009,Q1,118.736289,91.66097895
NC,2009,Q2,132.1405691,94.23370923
NC,2009,Q3,138.8879467,100.1398086
NC,2009,Q4,125.1856825,173.8555822
NC,2010,Annual,138.836205,102.2944717
NC,2010,Q1,133.4079007,96.7395132
NC,2010,Q2,138.0340888,105.7918982
NC,2010,Q3,149.0938068,109.3903337
NC,2010,Q4,134.8090238,97.25614166
NC,2011,Annual,153.4057537,112.0765886
NC,2011,Q1,145.2665236,100.6022078
NC,2011,Q2,153.4479694,114.3339435
NC,2011,Q3,166.2462122,120.1637982
NC,2011,Q4,148.6623095,113.2064049
NC,2012,Annual,179.6203281,132.4466412
NC,2012,Q1,168.1786012,125.6131816
NC,2012,Q2,177.9211352,125.8963551
NC,2012,Q3,190.0516581,141.716823
NC,2012,Q4,182.3299178,136.5602051
NC,2013,Annual,208.47965,162.6388293
NC,2013,Q1,196.2217493,150.0062496
NC,2013,Q2,209.9885471,162.979476
NC,2013,Q3,216.1604987,177.5996628
NC,2013,Q4,211.5478048,159.9699291
NC,2014,Annual,220.0033412,178.423133
NC,2014,Q1,207.3969099,159.7045148
NC,2014,Q2,222.4712498,183.1026021
NC,2014,Q3,226.9385904,197.9105218
NC,2014,Q4,223.2066149,172.9748934
NC,2015,Annual,256.6969926,210.7104701
NC,2015,Q1,225.1552445,171.5590113
NC,2015,Q2,236.8433035,203.1566368
NC,2015,Q3,249.0917488,220.1096651
NC,2015,Q4,315.6976735,248.0165673
NC,2016,Annual,320.1038374,261.3332477
NC,2016,Q1,316.9851965,242.166291
NC,2016,Q2,328.2348217,266.4335298
NC,2016,Q3,327.4880247,285.8328813
NC,2016,Q4,307.7073069,250.9002889
NC,2017,Annual,313.3786066,273.6048736
NC,2017,Q1,321.653319,270.1610975
NC,2017,Q2,313.6796062,293.0616853
NC,2017,Q3,317.7047025,292.9178538
NC,2017,Q4,300.4767986,238.2788581
NC,2018,Annual,NA,NA
NC,2018,Q1,NA,NA
NC,2018,Q2,NA,NA
NC,2018,Q3,NA,NA
NC,2018,Q4,NA,NA
NC,2019,Q1,NA,NA
NC,2019,Q2,NA,NA
ND,2005,Annual,NA,NA
ND,2005,Q1,NA,NA
ND,2005,Q2,NA,NA
ND,2005,Q3,NA,NA
ND,2005,Q4,NA,NA
ND,2006,Annual,NA,NA
ND,2006,Q1,NA,NA
ND,2006,Q2,NA,NA
ND,2006,Q3,NA,NA
ND,2006,Q4,NA,NA
ND,2007,Annual,NA,NA
ND,2007,Q1,NA,NA
ND,2007,Q2,NA,NA
ND,2007,Q3,NA,NA
ND,2007,Q4,NA,NA
ND,2008,Annual,NA,NA
ND,2008,Q1,NA,NA
ND,2008,Q2,NA,NA
ND,2008,Q3,NA,NA
ND,2008,Q4,NA,NA
ND,2009,Annual,NA,NA
ND,2009,Q1,NA,NA
ND,2009,Q2,NA,NA
ND,2009,Q3,NA,NA
ND,2009,Q4,NA,NA
ND,2010,Annual,NA,NA
ND,2010,Q1,NA,NA
ND,2010,Q2,NA,NA
ND,2010,Q3,NA,NA
ND,2010,Q4,NA,NA
ND,2011,Annual,156.6038479,86.90620674
ND,2011,Q1,156.3206127,82.17608592
ND,2011,Q2,148.2604239,73.04837428
ND,2011,Q3,141.0677365,96.77124244
ND,2011,Q4,180.7666185,95.62912431
ND,2012,Annual,207.8134671,71.20782745
ND,2012,Q1,205.5191923,66.43157594
ND,2012,Q2,207.0795292,63.77731546
ND,2012,Q3,225.2655531,76.16821316
ND,2012,Q4,193.3895937,78.45420527
ND,2013,Annual,159.3484927,83.40788186
ND,2013,Q1,191.0460777,96.1670187
ND,2013,Q2,150.8862415,75.99869038
ND,2013,Q3,157.1970729,78.73087131
ND,2013,Q4,138.2645787,82.73494705
ND,2014,Annual,161.5275334,100.3317454
ND,2014,Q1,166.2538123,82.67399072
ND,2014,Q2,161.8055498,97.91614912
ND,2014,Q3,155.6891888,116.6460392
ND,2014,Q4,162.3615826,104.0908028
ND,2015,Annual,201.1188449,117.9787888
ND,2015,Q1,165.4624405,96.86697474
ND,2015,Q2,181.5206084,114.2460033
ND,2015,Q3,205.4667774,118.079188
ND,2015,Q4,252.0255533,142.7229891
ND,2016,Annual,291.3711555,177.1715949
ND,2016,Q1,311.3080735,182.4038528
ND,2016,Q2,310.7061094,184.467094
ND,2016,Q3,246.4673332,171.1964983
ND,2016,Q4,297.0031059,170.6189342
ND,2017,Annual,284.0420916,165.7777046
ND,2017,Q1,294.1768748,154.5331309
ND,2017,Q2,285.2270922,181.0933472
ND,2017,Q3,283.4202533,165.6966589
ND,2017,Q4,273.3441459,161.7876815
ND,2018,Annual,264.7325345,130.0345848
ND,2018,Q1,242.9278279,112.8524216
ND,2018,Q2,286.2718616,132.9652566
ND,2018,Q3,263.5718359,134.1265195
ND,2018,Q4,266.1586127,140.1941415
ND,2019,Q1,NA,NA
ND,2019,Q2,NA,NA
NE,2005,Annual,53.65843589,29.31697638
NE,2005,Q1,42.67202776,18.7473121
NE,2005,Q2,50.41914067,33.30461314
NE,2005,Q3,59.97867945,33.30299603
NE,2005,Q4,61.56389567,31.91298427
NE,2006,Annual,55.20405479,30.18160615
NE,2006,Q1,49.10835897,29.34404031
NE,2006,Q2,52.85748716,28.16068418
NE,2006,Q3,60.55641207,32.29369357
NE,2006,Q4,58.29396096,30.92800654
NE,2007,Annual,64.06119333,33.26468339
NE,2007,Q1,66.48706029,31.8047008
NE,2007,Q2,65.66664498,36.1507865
NE,2007,Q3,66.29708653,39.60999234
NE,2007,Q4,57.79398153,25.49325393
NE,2008,Annual,69.1125926,31.92119699
NE,2008,Q1,66.21357342,25.12409578
NE,2008,Q2,73.75513322,36.43219766
NE,2008,Q3,65.26636958,37.00751121
NE,2008,Q4,71.21529416,29.12098333
NE,2009,Annual,72.75722555,34.25592777
NE,2009,Q1,71.34516207,32.58336653
NE,2009,Q2,70.04800548,37.18752642
NE,2009,Q3,77.98003959,33.8416983
NE,2009,Q4,71.65569508,33.41111984
NE,2010,Annual,87.83268875,40.92596548
NE,2010,Q1,85.17521699,31.73664997
NE,2010,Q2,81.38224911,45.96162487
NE,2010,Q3,93.41941329,39.12957644
NE,2010,Q4,91.3538756,46.87601066
NE,2011,Annual,89.93407558,51.68756742
NE,2011,Q1,85.93883753,48.80694645
NE,2011,Q2,88.1067993,50.79190196
NE,2011,Q3,96.07767737,57.64320171
NE,2011,Q4,89.61298813,49.50821959
NE,2012,Annual,91.31595671,53.45522438
NE,2012,Q1,103.3392521,50.30591829
NE,2012,Q2,89.43481756,51.44625377
NE,2012,Q3,88.17087138,64.22976156
NE,2012,Q4,84.31888574,47.83896388
NE,2013,Annual,90.98591805,53.27740076
NE,2013,Q1,82.06731063,51.47985653
NE,2013,Q2,98.83326359,56.06313882
NE,2013,Q3,98.66124181,57.77154001
NE,2013,Q4,84.38185615,47.79506767
NE,2014,Annual,78.55332723,52.75324957
NE,2014,Q1,75.38772383,50.85313012
NE,2014,Q2,79.19338186,55.53527027
NE,2014,Q3,86.56413478,54.72686089
NE,2014,Q4,73.06806845,49.89773701
NE,2015,Annual,99.55950088,56.42372244
NE,2015,Q1,85.07496944,42.83454826
NE,2015,Q2,86.05653765,50.25227037
NE,2015,Q3,97.35927468,60.80676253
NE,2015,Q4,129.7472218,71.80130858
NE,2016,Annual,160.2316173,85.81740165
NE,2016,Q1,162.2228221,87.05209846
NE,2016,Q2,154.6042866,89.56236112
NE,2016,Q3,171.0026883,87.67958303
NE,2016,Q4,153.0966721,78.97556399
NE,2017,Annual,168.4928942,80.83297069
NE,2017,Q1,165.3583382,76.31439419
NE,2017,Q2,174.7275089,85.25345338
NE,2017,Q3,168.0762454,84.51058453
NE,2017,Q4,165.8094844,77.25345064
NE,2018,Annual,162.0291891,81.91553393
NE,2018,Q1,165.6348742,73.78004865
NE,2018,Q2,166.8534804,84.72789887
NE,2018,Q3,163.9939021,88.36163219
NE,2018,Q4,151.6344997,80.79255601
NE,2019,Q1,NA,NA
NE,2019,Q2,NA,NA
NH,2005,Annual,NA,NA
NH,2005,Q1,NA,NA
NH,2005,Q2,NA,NA
NH,2005,Q3,NA,NA
NH,2005,Q4,NA,NA
NH,2006,Annual,NA,NA
NH,2006,Q1,NA,NA
NH,2006,Q2,NA,NA
NH,2006,Q3,NA,NA
NH,2006,Q4,NA,NA
NH,2007,Annual,NA,NA
NH,2007,Q1,NA,NA
NH,2007,Q2,NA,NA
NH,2007,Q3,NA,NA
NH,2007,Q4,NA,NA
NH,2008,Annual,NA,NA
NH,2008,Q1,NA,NA
NH,2008,Q2,NA,NA
NH,2008,Q3,NA,NA
NH,2008,Q4,NA,NA
NH,2009,Annual,NA,NA
NH,2009,Q1,NA,NA
NH,2009,Q2,NA,NA
NH,2009,Q3,NA,NA
NH,2009,Q4,NA,NA
NH,2010,Annual,NA,NA
NH,2010,Q1,NA,NA
NH,2010,Q2,NA,NA
NH,2010,Q3,NA,NA
NH,2010,Q4,NA,NA
NH,2011,Annual,NA,NA
NH,2011,Q1,NA,NA
NH,2011,Q2,NA,NA
NH,2011,Q3,NA,NA
NH,2011,Q4,NA,NA
NH,2012,Annual,NA,NA
NH,2012,Q1,NA,NA
NH,2012,Q2,NA,NA
NH,2012,Q3,NA,NA
NH,2012,Q4,NA,NA
NH,2013,Annual,NA,NA
NH,2013,Q1,NA,NA
NH,2013,Q2,NA,NA
NH,2013,Q3,NA,NA
NH,2013,Q4,NA,NA
NH,2014,Annual,NA,NA
NH,2014,Q1,NA,NA
NH,2014,Q2,NA,NA
NH,2014,Q3,NA,NA
NH,2014,Q4,NA,NA
NH,2015,Annual,NA,NA
NH,2015,Q1,NA,NA
NH,2015,Q2,NA,NA
NH,2015,Q3,NA,NA
NH,2015,Q4,NA,NA
NH,2016,Annual,NA,NA
NH,2016,Q1,NA,NA
NH,2016,Q2,NA,NA
NH,2016,Q3,NA,NA
NH,2016,Q4,NA,NA
NH,2017,Annual,NA,NA
NH,2017,Q1,NA,NA
NH,2017,Q2,NA,NA
NH,2017,Q3,NA,NA
NH,2017,Q4,NA,NA
NH,2018,Annual,NA,NA
NH,2018,Q1,NA,NA
NH,2018,Q2,NA,NA
NH,2018,Q3,NA,NA
NH,2018,Q4,NA,NA
NJ,2005,Annual,232.9064611,109.3948447
NJ,2005,Q1,224.9533092,100.3047082
NJ,2005,Q2,233.4700863,109.905779
NJ,2005,Q3,244.8505758,119.6672184
NJ,2005,Q4,228.3518732,107.7016732
NJ,2006,Annual,231.8500549,118.4625642
NJ,2006,Q1,229.1172526,92.29950614
NJ,2006,Q2,234.9168131,124.5104411
NJ,2006,Q3,239.6569862,149.2533144
NJ,2006,Q4,223.7091675,107.7869952
NJ,2007,Annual,228.9439403,104.6913767
NJ,2007,Q1,226.1860088,98.23647616
NJ,2007,Q2,229.0318643,103.5888506
NJ,2007,Q3,239.5496158,113.1342933
NJ,2007,Q4,221.0082723,103.8058869
NJ,2008,Annual,240.3200283,126.7026279
NJ,2008,Q1,225.6140802,113.9816517
NJ,2008,Q2,235.1973108,125.0680148
NJ,2008,Q3,253.0915097,138.1060203
NJ,2008,Q4,247.3772126,129.6548248
NJ,2009,Annual,252.7433116,144.8421478
NJ,2009,Q1,242.259513,131.8460078
NJ,2009,Q2,252.0558271,149.1661784
NJ,2009,Q3,263.2772015,163.107115
NJ,2009,Q4,253.3807047,135.2492898
NJ,2010,Annual,254.0900217,149.8613547
NJ,2010,Q1,251.5188181,134.8201551
NJ,2010,Q2,254.3195935,157.1787896
NJ,2010,Q3,259.1865148,161.3037825
NJ,2010,Q4,251.3351606,146.1426915
