V1,X,County,Count.of.Overdose.Death.Related.to.any.Drug.Type,Year,TimeInterval,Count.of.Naloxone.used.by.EMS,CourtofCommonPleasOpioidCases,CourtofCommonPleasCases,RateofCourtofCommonPleasOpioidCases,Pop,Rate.of.Overdose.Death.Related.to.any.Drug.Type,Rate.of.Naloxone.used.by.EMS,CourtofCommonPleasOpioidRate,CourtofCommonPleasRate
424,424,Northampton,25,2012,Annual,,,,,302809,8.25602937825494,,,
425,425,Northampton,34,2013,Annual,,,,,302809,11.2281999544267,,,
426,426,Northampton,18,2014,Annual,,,,,302809,5.94434115234356,,,
427,427,Northampton,56,2015,Annual,,,,,302809,18.4935058072911,,,
428,428,Northampton,68,2016,Annual,,,,,302809,22.4563999088534,,,
429,429,Northampton,93,2017,Annual,,,,,302809,30.7124292871084,,,
430,430,Northampton,69,2018,Annual,,,,,302809,22.7866410839836,,,
431,431,Northampton,59,2019,Annual,,,,,302809,19.4842293326817,,,
432,432,Northampton,56,2020,Annual,,,,,302809,18.4935058072911,,,
433,433,Northumberland,,2012,Annual,,,,,91761,,,,
434,434,Northumberland,11,2013,Annual,,,,,91761,11.9876636043635,,,
435,435,Northumberland,16,2014,Annual,,,,,91761,17.4366016063469,,,
436,436,Northumberland,12,2015,Annual,,,,,91761,13.0774512047602,,,
437,437,Northumberland,26,2016,Annual,,,,,91761,28.3344776103137,,,
438,438,Northumberland,26,2017,Annual,,,,,91761,28.3344776103137,,,
439,439,Northumberland,20,2018,Annual,,,,,91761,21.7957520079337,,,
440,440,Northumberland,36,2019,Annual,,,,,91761,39.2323536142806,,,
441,441,Northumberland,24,2020,Annual,,,,,91761,26.1549024095204,,,
442,442,Perry,,2012,Annual,,,,,46053,,,,
443,443,Perry,,2013,Annual,,,,,46053,,,,
444,444,Perry,,2014,Annual,,,,,46053,,,,
445,445,Perry,,2015,Annual,,,,,46053,,,,
446,446,Perry,,2016,Annual,,,,,46053,,,,
447,447,Perry,13,2017,Annual,,,,,46053,28.2283456018066,,,
448,448,Perry,14,2018,Annual,,,,,46053,30.3997568019456,,,
449,449,Perry,,2019,Annual,,,,,46053,,,,
450,450,Perry,,2020,Annual,,,,,46053,,,,
451,451,Philadelphia,464,2012,Annual,,,,,1579075,29.3842914364422,,,
452,452,Philadelphia,420,2013,Annual,,,,,1579075,26.5978500071244,,,
453,453,Philadelphia,562,2014,Annual,,,,,1579075,35.5904564381046,,,
454,454,Philadelphia,638,2015,Annual,,,,,1579075,40.4034007251081,,,
455,455,Philadelphia,840,2016,Annual,,,,,1579075,53.1957000142488,,,
456,456,Philadelphia,1222,2017,Annual,,,,,1579075,77.3870778778715,,,
457,457,Philadelphia,1118,2018,Annual,,,,,1579075,70.8009435903931,,,
458,458,Philadelphia,1154,2019,Annual,,,,,1579075,73.0807593052895,,,
459,459,Philadelphia,1053,2020,Annual,,,,,1579075,66.6846096607191,,,
460,460,Pike,,2012,Annual,,,,,55453,,,,
461,461,Pike,,2013,Annual,,,,,55453,,,,
462,462,Pike,,2014,Annual,,,,,55453,,,,
463,463,Pike,,2015,Annual,,,,,55453,,,,
464,464,Pike,10,2016,Annual,,,,,55453,18.033289452329,,,
465,465,Pike,13,2017,Annual,,,,,55453,23.4432762880277,,,
466,466,Pike,18,2018,Annual,,,,,55453,32.4599210141922,,,
467,467,Pike,14,2019,Annual,,,,,55453,25.2466052332606,,,
468,468,Pike,11,2020,Annual,,,,,55453,19.8366183975619,,,
469,469,Potter,,2012,Annual,,,,,16806,,,,
470,470,Potter,0,2013,Annual,,,,,16806,0,,,
471,471,Potter,0,2014,Annual,,,,,16806,0,,,
472,472,Potter,,2015,Annual,,,,,16806,,,,
473,473,Potter,,2016,Annual,,,,,16806,,,,
474,474,Potter,,2017,Annual,,,,,16806,,,,
475,475,Potter,,2018,Annual,,,,,16806,,,,
476,476,Potter,,2019,Annual,,,,,16806,,,,
477,477,Potter,,2020,Annual,,,,,16806,,,,
478,478,Schuylkill,33,2012,Annual,,,,,142674,23.1296522141385,,,
479,479,Schuylkill,21,2013,Annual,,,,,142674,14.7188695908154,,,
480,480,Schuylkill,25,2014,Annual,,,,,142674,17.5224637985898,,,
481,481,Schuylkill,21,2015,Annual,,,,,142674,14.7188695908154,,,
482,482,Schuylkill,57,2016,Annual,,,,,142674,39.9512174607847,,,
483,483,Schuylkill,27,2017,Annual,,,,,142674,18.924260902477,,,
484,484,Schuylkill,56,2018,Annual,,,,,142674,39.2503189088411,,,
485,485,Schuylkill,54,2019,Annual,,,,,142674,37.8485218049539,,,
486,486,Schuylkill,15,2020,Annual,,,,,142674,10.5134782791539,,,
487,487,Snyder,,2012,Annual,,,,,40483,,,,
488,488,Snyder,0,2013,Annual,,,,,40483,0,,,
489,489,Snyder,0,2014,Annual,,,,,40483,0,,,
490,490,Snyder,,2015,Annual,,,,,40483,,,,
491,491,Snyder,,2016,Annual,,,,,40483,,,,
492,492,Snyder,,2017,Annual,,,,,40483,,,,
493,493,Snyder,,2018,Annual,,,,,40483,,,,
494,494,Snyder,,2019,Annual,,,,,40483,,,,
495,495,Snyder,,2020,Annual,,,,,40483,,,,
496,496,Somerset,13,2012,Annual,,,,,74361,17.4822823792042,,,
497,497,Somerset,,2013,Annual,,,,,74361,,,,
498,498,Somerset,14,2014,Annual,,,,,74361,18.8270733314506,,,
499,499,Somerset,15,2015,Annual,,,,,74361,20.1718642836971,,,
500,500,Somerset,27,2016,Annual,,,,,74361,36.3093557106548,,,
501,501,Somerset,28,2017,Annual,,,,,74361,37.6541466629013,,,
502,502,Somerset,13,2018,Annual,,,,,74361,17.4822823792042,,,
503,503,Somerset,12,2019,Annual,,,,,74361,16.1374914269577,,,
504,504,Somerset,16,2020,Annual,,,,,74361,21.5166552359436,,,
505,505,Sullivan,0,2012,Annual,,,,,6135,0,,,
506,506,Sullivan,0,2013,Annual,,,,,6135,0,,,
507,507,Sullivan,0,2014,Annual,,,,,6135,0,,,
508,508,Sullivan,0,2015,Annual,,,,,6135,0,,,
509,509,Sullivan,,2016,Annual,,,,,6135,,,,
510,510,Sullivan,0,2017,Annual,,,,,6135,0,,,
511,511,Sullivan,0,2018,Annual,,,,,6135,0,,,
512,512,Sullivan,,2019,Annual,,,,,6135,,,,
513,513,Sullivan,0,2020,Annual,,,,,6135,0,,,
514,514,Susquehanna,,2012,Annual,,,,,40970,,,,
515,515,Susquehanna,,2013,Annual,,,,,40970,,,,
516,516,Susquehanna,13,2014,Annual,,,,,40970,31.7305345374664,,,
517,517,Susquehanna,,2015,Annual,,,,,40970,,,,
518,518,Susquehanna,10,2016,Annual,,,,,40970,24.4081034903588,,,
519,519,Susquehanna,,2017,Annual,,,,,40970,,,,
520,520,Susquehanna,10,2018,Annual,,,,,40970,24.4081034903588,,,
521,521,Susquehanna,,2019,Annual,,,,,40970,,,,
522,522,Susquehanna,,2020,Annual,,,,,40970,,,,
523,523,Tioga,,2012,Annual,,,,,40944,,,,
524,524,Tioga,,2013,Annual,,,,,40944,,,,
525,525,Tioga,,2014,Annual,,,,,40944,,,,
526,526,Tioga,,2015,Annual,,,,,40944,,,,
527,527,Tioga,,2016,Annual,,,,,40944,,,,
528,528,Tioga,,2017,Annual,,,,,40944,,,,
529,529,Tioga,,2018,Annual,,,,,40944,,,,
530,530,Tioga,,2019,Annual,,,,,40944,,,,
531,531,Tioga,,2020,Annual,,,,,40944,,,,
532,532,Union,,2012,Annual,,,,,45111,,,,
533,533,Union,,2013,Annual,,,,,45111,,,,
534,534,Union,,2014,Annual,,,,,45111,,,,
535,535,Union,,2015,Annual,,,,,45111,,,,
536,536,Union,,2016,Annual,,,,,45111,,,,
537,537,Union,,2017,Annual,,,,,45111,,,,
538,538,Union,,2018,Annual,,,,,45111,,,,
539,539,Union,,2019,Annual,,,,,45111,,,,
540,540,Union,,2020,Annual,,,,,45111,,,,
541,541,Venango,,2012,Annual,,,,,51818,,,,
542,542,Venango,,2013,Annual,,,,,51818,,,,
543,543,Venango,10,2014,Annual,,,,,51818,19.2983133274152,,,
544,544,Venango,11,2015,Annual,,,,,51818,21.2281446601567,,,
545,545,Venango,,2016,Annual,,,,,51818,,,,
546,546,Venango,,2017,Annual,,,,,51818,,,,
547,547,Venango,,2018,Annual,,,,,51818,,,,
548,548,Venango,,2019,Annual,,,,,51818,,,,
549,549,Venango,10,2020,Annual,,,,,51818,19.2983133274152,,,
550,550,Warren,,2012,Annual,,,,,39756,,,,
551,551,Warren,0,2013,Annual,,,,,39756,0,,,
552,552,Warren,,2014,Annual,,,,,39756,,,,
553,553,Warren,,2015,Annual,,,,,39756,,,,
554,554,Warren,,2016,Annual,,,,,39756,,,,
555,555,Warren,,2017,Annual,,,,,39756,,,,
556,556,Warren,0,2018,Annual,,,,,39756,0,,,
557,557,Warren,,2019,Annual,,,,,39756,,,,
558,558,Warren,,2020,Annual,,,,,39756,,,,
559,559,Washington,31,2012,Annual,,,,,207212,14.9605235218038,,,
560,560,Washington,49,2013,Annual,,,,,207212,23.6472791151092,,,
561,561,Washington,43,2014,Annual,,,,,207212,20.7516939173407,,,
562,562,Washington,64,2015,Annual,,,,,207212,30.8862421095303,,,
563,563,Washington,101,2016,Annual,,,,,207212,48.7423508291026,,,
564,564,Washington,92,2017,Annual,,,,,207212,44.3989730324499,,,
565,565,Washington,73,2018,Annual,,,,,207212,35.229619906183,,,
566,566,Washington,76,2019,Annual,,,,,207212,36.6774125050673,,,
567,567,Washington,75,2020,Annual,,,,,207212,36.1948149721059,,,
568,568,Wayne,11,2012,Annual,,,,,51422,21.3916222628447,,,
569,569,Wayne,,2013,Annual,,,,,51422,,,,
570,570,Wayne,13,2014,Annual,,,,,51422,25.2810081288165,,,
571,571,Wayne,17,2015,Annual,,,,,51422,33.05977986076,,,
572,572,Wayne,15,2016,Annual,,,,,51422,29.1703939947882,,,
573,573,Wayne,12,2017,Annual,,,,,51422,23.3363151958306,,,
574,574,Wayne,17,2018,Annual,,,,,51422,33.05977986076,,,
575,575,Wayne,19,2019,Annual,,,,,51422,36.9491657267317,,,
576,576,Wayne,13,2020,Annual,,,,,51422,25.2810081288165,,,
577,577,Westmoreland,83,2012,Annual,,,,,352590,23.5400890552767,,,
578,578,Westmoreland,84,2013,Annual,,,,,352590,23.8237045860631,,,
579,579,Westmoreland,82,2014,Annual,,,,,352590,23.2564735244902,,,
580,580,Westmoreland,120,2015,Annual,,,,,352590,34.0338636943759,,,
581,581,Westmoreland,168,2016,Annual,,,,,352590,47.6474091721263,,,
582,582,Westmoreland,191,2017,Annual,,,,,352590,54.170566380215,,,
583,583,Westmoreland,119,2018,Annual,,,,,352590,33.7502481635894,,,
584,584,Westmoreland,114,2019,Annual,,,,,352590,32.3321705096571,,,
585,585,Westmoreland,83,2020,Annual,,,,,352590,23.5400890552767,,,
586,586,Wyoming,,2012,Annual,,,,,27327,,,,
587,587,Wyoming,,2013,Annual,,,,,27327,,,,
588,588,Wyoming,,2014,Annual,,,,,27327,,,,
589,589,Wyoming,,2015,Annual,,,,,27327,,,,
590,590,Wyoming,,2016,Annual,,,,,27327,,,,
591,591,Wyoming,,2017,Annual,,,,,27327,,,,
592,592,Wyoming,13,2018,Annual,,,,,27327,47.5719983898708,,,
593,593,Wyoming,,2019,Annual,,,,,27327,,,,
594,594,Wyoming,,2020,Annual,,,,,27327,,,,
595,595,York,67,2012,Annual,,,,,445565,15.0370877425291,,,
596,596,York,53,2013,Annual,,,,,445565,11.8950097067768,,,
597,597,York,108,2014,Annual,,,,,445565,24.2388877043753,,,
598,598,York,88,2015,Annual,,,,,445565,19.7502047961577,,,
599,599,York,121,2016,Annual,,,,,445565,27.1565315947168,,,
600,600,York,167,2017,Annual,,,,,445565,37.4805022836174,,,
601,601,York,159,2018,Annual,,,,,445565,35.6850291203304,,,
602,602,York,146,2019,Annual,,,,,445565,32.7673852299889,,,
603,603,York,169,2020,Annual,,,,,445565,37.9293705744392,,,
