State,Year,TimeInterval,Opioid.Overdose.Deaths.by.natural.and.semisynthetic.opioid..e.g..oxycodone.,Opioid.Overdose.Deaths.by.Synthetic.Opioids..other.than.Methadone..e.g..fentanyl..tramadol.,Opioid.Overdose.Deaths.by.Methadone,Opioid.Overdose.Deaths.by.Heroin,Opioid.Overdose.Deaths,All.Drug.Overdose.Deaths,Opioid.Overdose.Deaths.as.a.Percent.of.All.Drug.Overdose.Deaths,Opioid.Overdose.Death.Rate.per.100.000.Population..Age.Adjusted.,All.Drug.Overdose.Death.Rate.per.100.000.Population..Age.Adjusted.,IPRate,EDRate,RATESOpioidOverdoseDeathsByNaturalAndSemisyntheticOpioid,RATESOpioidOverdoseDeathsBySyntheticOpioidsOtherThanMethadone,RATESOpioidOverdoseDeathsbyMethadone,RATESOpioidOverdoseDeathsByHeroin,IPvisitCount,EDvisitCount,name
MA,2010,Annual,170,68,83,68,,,0.74,8.3,,289.1201748,257.5281453,2.59635969,1.038543876,1.267634437,1.038543876,18931,16862,Massachusetts
MA,2011,Annual,168,64,68,144,,,0.76,9.9,12.7,322.3578072,292.3249351,2.565814282,0.97745306,1.038543876,2.199269384,21107,19140,Massachusetts
MA,2012,Annual,171,67,86,246,691,,0.8,10.4,12.7,356.3884122,338.6406277,2.611632394,1.023271172,1.313452549,3.757085198,23335,22173,Massachusetts
MA,2013,Annual,179,98,94,288,,,,13.3,16,366.9665056,376.1374437,2.733814026,1.496724998,1.435634181,4.398538769,24028,24628,Massachusetts
MA,2014,Annual,178,453,88,469,,,,,,393.6626803,450.1655101,2.718541322,6.918534938,1.343997957,7.162898203,25776,29475,Massachusetts
MA,2015,Annual,,949,82,634,,,,,,398.4893681,546.4387143,,14.49379615,1.252361733,9.682894373,26092,35779,Massachusetts
MA,2016,Annual,,1550,95,630,,,,,,452.4676551,570.3333527,,23.67269129,1.450906886,9.621803557,29626,37343,Massachusetts
MA,2017,Annual,254,1649,79,466,,,,,,463.7651314,527.1201672,3.879266831,25.18468899,1.206543621,7.117080091,30366,34514,Massachusetts
MA,2018,Annual,253,1806,88,475,,,,,,,,3.863994127,27.58250353,1.343997957,7.254534428,,,Massachusetts
MD,2005,Annual,90,21,145,79,495,,0.75,8.6,11.4,416.9199798,180.5282607,1.558832414,0.363727563,2.511452222,1.368308452,24071,10423,Maryland
MD,2006,Annual,109,53,178,111,565,,0.74,9.7,13.2,428.6667784,169.7688457,1.887919257,0.917979088,3.083024107,1.922559977,24749,9802,Maryland
MD,2007,Annual,132,35,201,129,,769,,10.3,13.2,415.3582447,159.90094,2.28628754,0.606212605,3.481392391,2.23432646,23981,9232,Maryland
MD,2008,Annual,173,35,154,105,,,0.74,8.7,11.8,429.0330302,152.8497428,2.996422306,0.606212605,2.667335464,1.818637816,24770,8825,Maryland
MD,2009,Annual,192,52,136,156,,,0.79,9.9,,447.2123241,166.1255785,3.325509149,0.900658728,2.355568981,2.701976184,25820,9591,Maryland
MD,2010,Annual,205,51,172,94,,650,,8.7,,439.2980235,175.0654568,3.550673831,0.883338368,2.979101946,1.628113854,25363,10107,Maryland
MD,2011,Annual,238,56,167,103,,707,0.77,9.1,11.7,428.2692807,200.3294824,4.122245716,0.969940169,2.892500145,1.783997096,24726,11566,Maryland
MD,2012,Annual,258,52,170,173,657,,0.79,10.9,13.7,421.4172964,230.009675,4.468652919,0.900658728,2.944461226,2.996422306,24331,13280,Maryland
MD,2013,Annual,304,93,138,217,,,0.84,12.3,,427.044086,253.6514921,5.265389486,1.610793494,2.390209701,3.758518153,24656,14645,Maryland
MD,2014,Annual,,230,153,313,,,,,17.4,403.7998079,300.7454776,,3.983682835,2.650015103,5.421272728,23314,17364,Maryland
MD,2015,Annual,,357,182,405,,1285,,,,412.4275961,351.3321077,,6.183368574,3.152305548,7.014745862,23812,20284,Maryland
MD,2016,Annual,,1091,197,650,,,,,,473.7885995,460.5983472,,18.89651293,3.41211095,11.2582341,27354,26593,Maryland
MD,2017,Annual,524,1542,241,522,,,,,36.3,460.3430674,500.3151076,9.07586872,26.70799536,4.174206797,9.041228,26578,28886,Maryland
MD,2018,Annual,425,1825,187,356,,,,,,438.5037943,516.2948941,7.361153065,31.60965728,3.238907349,6.166048214,25317,29809,Maryland
ME,2005,Annual,37,,61,,116,163,0.71,9,12.4,,,2.785387406,,4.592125183,,,,Maine
ME,2006,Annual,41,,47,,93,159,0.58,7.3,12,251.8785756,150.1959306,3.086510369,,3.538194813,,3346,1995,Maine
ME,2007,Annual,53,,45,,,159,0.64,8.1,12.4,259.9161967,167.2015014,3.989879257,,3.387633332,,3453,2221,Maine
ME,2008,Annual,46,15,50,,,162,0.65,8.2,,277.1273589,205.7757195,3.462914072,1.129211111,3.764037035,,3681,2733,Maine
ME,2009,Annual,75,16,40,,,173,0.66,8.7,12.7,292.4958588,273.2835629,5.646055553,1.204491851,3.011229628,,3885,3630,Maine
ME,2010,Annual,52,21,36,,,135,0.67,7.1,10.4,292.5565301,303.1031119,3.914598517,1.580895555,2.710106665,,3886,4026,Maine
ME,2011,Annual,40,19,32,,,156,0.54,6.7,11.8,317.5773428,290.0990196,3.011229628,1.430334073,2.408983702,,4219,3854,Maine
ME,2012,Annual,61,15,25,12,100,150,0.67,7.9,11.5,338.5637183,284.1969091,4.592125183,1.129211111,1.882018518,0.903368888,4497,3775,Maine
ME,2013,Annual,64,23,34,16,,174,0.72,9.9,13.2,315.587887,290.5759083,4.817967405,1.731457036,2.559545184,1.204491851,4192,3860,Maine
ME,2014,Annual,80,62,29,38,171,216,0.79,13.7,,300.4823969,324.3314003,6.022459256,4.667405924,2.18314148,2.860668147,3991,4308,Maine
ME,2015,Annual,,116,36,52,,269,,,,297.1322894,396.7536829,,8.732565921,2.710106665,3.914598517,3947,5270,Maine
ME,2016,Annual,132,199,37,55,,353,,,,345.0575797,420.0929567,9.937057773,14.9808674,2.785387406,4.140440739,4584,5580,Maine
ME,2017,Annual,75,278,30,76,,424,,,,322.604666,396.6931705,5.646055553,20.92804592,2.258422221,5.721336293,4285,5270,Maine
ME,2018,Annual,56,229,18,71,,,,,,331.7440236,365.1360368,4.215721479,17.23928962,1.355053333,5.34493259,4407,4850,Maine
MI,2005,Annual,151,88,126,151,483,,0.49,4.8,9.8,148.7660574,,1.527777216,0.890360232,1.274833968,1.527777216,14704,,Michigan
MI,2006,Annual,169,199,148,149,594,,0.51,6,11.7,163.1784894,,1.709896354,2.013428251,1.497424026,1.507541756,16128,,Michigan
MI,2007,Annual,182,71,153,114,,,0.41,5.1,12.2,166.0008828,,1.841426843,0.718358823,1.548012675,1.153421209,16407,,Michigan
MI,2008,Annual,222,73,150,216,,,0.52,6.5,12.4,178.1078622,,2.246136039,0.738594283,1.517659486,2.18542966,17604,,Michigan
MI,2009,Annual,212,93,179,250,,,0.52,7.5,14.5,189.1100576,,2.14495874,0.940948881,1.811073653,2.529432476,18691,,Michigan
MI,2010,Annual,244,85,158,215,695,,0.5,7,,204.6984479,,2.468726097,0.860007042,1.598601325,2.17531193,20232,,Michigan
MI,2011,Annual,221,89,147,267,,,0.52,7.5,14.3,219.742375,,2.236018309,0.900477962,1.487306296,2.701433885,21719,,Michigan
MI,2012,Annual,274,72,130,263,685,,0.52,7.1,13.5,220.8733351,,2.772257994,0.728476553,1.315304888,2.660962965,21830,,Michigan
MI,2013,Annual,283,86,163,421,,,,9.4,,229.724987,,2.863317563,0.870124772,1.649189975,4.25956429,22705,,Michigan
MI,2014,Annual,328,178,146,525,,,0.6,10.9,18,229.5650176,,3.318615409,1.800955923,1.477188566,5.3118082,22689,,Michigan
MI,2015,Annual,380,457,171,646,,,0.66,,20.4,260.7043097,,3.844737364,4.623802567,1.730131814,6.536053519,25767,,Michigan
MI,2016,Annual,,921,149,727,,,0.75,,,335.740811,,,9.318429243,1.507541756,7.355589641,33183,,Michigan
MI,2017,Annual,,1368,148,783,,,0.75,,,342.7609945,,,13.84105451,1.497424026,7.922182516,33877,,Michigan
MI,2018,Annual,442,1531,134,633,,,,,,316.4184324,,4.472036618,15.49024448,1.355775807,6.40452303,31274,,Michigan
MN,2005,Annual,62,19,35,,144,,0.51,2.8,5.4,155.0805378,58.63138311,1.168945639,0.358225277,0.659888667,,8225,3110,Minnesota
MN,2006,Annual,55,28,53,,158,311,0.51,3,5.9,149.6864476,59.53421563,1.036967906,0.527910934,0.999259982,,7939,3158,Minnesota
MN,2007,Annual,81,25,55,,,341,0.53,3.4,6.4,165.0126453,55.05055729,1.527170916,0.471349048,1.036967906,,8752,2920,Minnesota
MN,2008,Annual,90,32,60,,,,,4.3,,185.6615477,63.71154186,1.696856573,0.603326782,1.131237715,,9847,3379,Minnesota
MN,2009,Annual,110,39,78,16,,419,0.65,5.2,,204.8603342,73.18438593,2.073935812,0.735304515,1.47060903,0.301663391,10866,3882,Minnesota
MN,2010,Annual,100,37,62,16,,397,,4.4,,194.2151031,83.98963903,1.885396192,0.697596591,1.168945639,0.301663391,10301,4455,Minnesota
MN,2011,Annual,100,31,58,44,,,0.56,5.3,9.4,210.1791976,93.70769946,1.885396192,0.58447282,1.093529792,0.829574325,11148,4970,Minnesota
MN,2012,Annual,108,40,67,46,290,,0.6,5.3,8.9,209.9596376,103.3681446,2.036227888,0.754158477,1.263215449,0.867282249,11136,5483,Minnesota
MN,2013,Annual,111,33,76,92,,523,0.58,5.6,9.6,225.9693562,112.9803189,2.092789774,0.622180744,1.432901106,1.734564497,11985,5992,Minnesota
MN,2014,Annual,,44,81,100,,,0.62,6,9.6,247.2285408,134.1163427,,0.829574325,1.527170916,1.885396192,13113,7113,Minnesota
MN,2015,Annual,,55,55,115,,,0.58,6.2,10.6,275.7750913,153.0240914,,1.036967906,1.036967906,2.168205621,14627,8116,Minnesota
MN,2016,Annual,,99,67,149,,,,,,334.861053,191.2321166,,1.866542231,1.263215449,2.809240327,17761,10143,Minnesota
MN,2017,Annual,,184,50,111,422,,0.58,7.8,13.3,363.171917,188.3678029,,3.469128994,0.942698096,2.092789774,19262,9991,Minnesota
MN,2018,Annual,105,202,44,93,343,,0.54,6.3,11.5,354.1537481,164.4130881,1.979666002,3.808500309,0.829574325,1.753418459,18784,8720,Minnesota
MO,2005,Annual,139,47,85,52,302,,0.5,5.3,10.7,124.2864232,57.49966518,2.32094998,0.784781648,1.419285959,0.868269057,7443,3444,Missouri
MO,2006,Annual,151,140,88,61,403,,0.54,7.1,13,137.9373958,65.10674188,2.521319762,2.337647462,1.469378405,1.018546394,8261,3899,Missouri
MO,2007,Annual,172,70,89,67,,,0.55,6.7,,152.3100022,67.09928864,2.871966882,1.168823731,1.486075886,1.118731285,9122,4019,Missouri
MO,2008,Annual,224,55,89,120,,765,0.62,8.2,,168.5394628,83.11767969,3.740235939,0.918361503,1.486075886,2.003697824,10094,4978,Missouri
MO,2009,Annual,189,67,80,162,526,,,9,,194.5043936,95.56973677,3.155824073,1.118731285,1.33579855,2.704992063,11649,5724,Missouri
MO,2010,Annual,248,92,78,183,,998,0.6,10.3,,215.3117409,115.8647138,4.140975504,1.536168332,1.302403586,3.055639182,12895,6939,Missouri
MO,2011,Annual,222,66,73,250,,,0.62,10.2,16.4,237.223256,126.9568441,3.706840975,1.102033803,1.218916176,4.174370467,14207,7603,Missouri
MO,2012,Annual,203,56,62,210,539,,0.57,9.3,16.2,250.6868567,136.0221915,3.389588819,0.935058985,1.035243876,3.506471193,15013,8146,Missouri
MO,2013,Annual,237,97,54,261,,,0.6,10.7,,243.3787605,138.6794528,3.957303203,1.619655741,0.901664021,4.358042768,14576,8305,Missouri
MO,2014,Annual,237,109,53,334,696,1067,0.65,12,,261.4094737,169.4380066,3.957303203,1.820025524,0.884966539,5.576958944,15656,10148,Missouri
MO,2015,Annual,237,183,62,303,,,0.65,,,306.8451523,203.5167333,3.957303203,3.055639182,1.035243876,5.059337006,18377,12188,Missouri
MO,2016,Annual,231,441,41,380,,,0.67,15.9,,353.9897641,256.6341407,3.857118312,7.363589504,0.684596757,6.34504311,21200,15370,Missouri
MO,2017,Annual,,618,32,299,,,0.7,16.5,,345.6127624,245.8401504,,10.3190438,0.53431942,4.992547079,20698,14723,Missouri
MO,2018,Annual,231,868,40,351,,,0.7,,,324.9253876,238.1120122,3.857118312,14.49341426,0.667899275,5.860816136,19460,14260,Missouri
MS,2005,Annual,15,,23,,40,248,0.16,1.4,8.8,,,0.505510571,,0.775116208,,,,Mississippi
MS,2006,Annual,27,11,22,,65,,0.19,2.3,12.1,,,0.909919027,0.370707752,0.741415504,,,,Mississippi
MS,2007,Annual,45,22,31,,,,0.3,3.3,,,,1.516531712,0.741415504,1.044721846,,,,Mississippi
MS,2008,Annual,58,34,15,,106,303,0.35,3.7,10.5,,,1.954640873,1.14582396,0.505510571,,,,Mississippi
MS,2009,Annual,44,31,18,,,323,0.3,3.4,11.2,,,1.482831007,1.044721846,0.606612685,,,,Mississippi
MS,2010,Annual,53,25,21,,100,334,0.3,3.3,11.4,,,1.78613735,0.842517618,0.707714799,,,,Mississippi
MS,2011,Annual,48,18,14,,,302,0.26,2.9,10.7,,,1.617633826,0.606612685,0.471809866,,,,Mississippi
MS,2012,Annual,61,20,22,,111,310,0.36,3.9,10.7,,,2.055742988,0.674014094,0.741415504,,,,Mississippi
MS,2013,Annual,55,24,12,10,100,,,3.4,,168.0406271,,1.853538759,0.808816913,0.404408457,0.337007047,4986,,Mississippi
MS,2014,Annual,,24,,23,,,,3.9,,223.5520376,,,0.808816913,,0.775116208,6633,,Mississippi
MS,2015,Annual,73,35,12,38,,351,0.43,5.3,,166.1433826,,2.460151444,1.179524665,0.404408457,1.280626779,4930,,Mississippi
MS,2016,Annual,,45,,33,,352,0.51,6.2,12.1,204.4015225,118.971731,,1.516531712,,1.112123256,6065,3530,Mississippi
MS,2017,Annual,,81,,34,,,0.52,6.4,12.2,225.9216207,130.1055476,,2.729757082,,1.14582396,6704,3861,Mississippi
MS,2018,Annual,85,72,12,39,,310,0.56,6.1,,199.0310536,115.808408,2.864559901,2.42645074,0.404408457,1.314327484,5906,3436,Mississippi
MT,2005,Annual,19,,15,,45,96,0.47,4.7,10.1,,,1.920326658,,1.516047361,,,,Montana
MT,2006,Annual,12,,27,,47,97,0.48,5.2,10.2,,,1.212837889,,2.72888525,,,,Montana
MT,2007,Annual,25,,27,,62,125,0.5,6.3,12.8,,,2.526745602,,2.72888525,,,,Montana
MT,2008,Annual,27,16,26,,70,134,0.52,7.6,14.1,,,2.72888525,1.617117185,2.627815426,,,,Montana
MT,2009,Annual,42,21,37,,,142,0.63,9.4,,171.5487075,,4.244932612,2.122466306,3.739583491,,1697,,Montana
MT,2010,Annual,33,10,12,,54,118,0.46,6.1,12.9,164.3857913,,3.335304195,1.010698241,1.212837889,,1626,,Montana
MT,2011,Annual,32,14,20,,,141,0.45,6.8,14.4,176.4469844,,3.234234371,1.414977537,2.021396482,,1746,,Montana
MT,2012,Annual,25,13,13,,51,118,0.43,5.3,,171.2896944,,2.526745602,1.313907713,1.313907713,,1695,,Montana
MT,2013,Annual,43,,14,,67,137,0.49,7.2,14.5,183.4447056,,4.346002436,,1.414977537,,1815,,Montana
MT,2014,Annual,,14,16,,53,125,0.42,5.4,12.4,213.570884,131.6503898,,1.414977537,1.617117185,,2113,1303,Montana
MT,2015,Annual,26,,,,,138,0.35,5,13.8,239.9447666,145.6874246,2.627815426,,,,2374,1441,Montana
MT,2016,Annual,12,14,,,,119,0.35,4.2,11.7,301.3983322,183.168546,1.212837889,1.414977537,,,2982,1812,Montana
MT,2017,Annual,,,,,,119,,3.6,11.7,294.4105885,176.5427704,,,,,2913,1747,Montana
MT,2018,Annual,23,11,,22,,125,0.51,6.2,12.2,267.8140009,153.4165439,2.324605954,1.111768065,,2.22353613,2650,1518,Montana
NC,2005,Annual,215,115,299,62,654,1000,0.65,7.5,11.4,95.11675257,,2.254736336,1.206021761,3.135656579,0.650203036,9070,,North Carolina
NC,2006,Annual,245,105,337,57,696,,0.66,7.8,11.8,102.2452641,,2.569350708,1.101150304,3.534168117,0.597767308,9750,,North Carolina
NC,2007,Annual,304,112,333,50,,,0.69,8.2,,111.1874309,72.35377432,3.188092307,1.174560324,3.492219534,0.524357287,10602,6899,North Carolina
NC,2008,Annual,409,127,301,64,,,0.71,9.1,12.8,115.7536339,83.20376779,4.289242611,1.33186751,3.15663087,0.671177328,11038,7934,North Carolina
NC,2009,Annual,426,169,249,76,,,0.72,9.1,12.6,128.7376218,114.9725198,4.467524089,1.772327631,2.611299291,0.797023077,12276,10963,North Carolina
NC,2010,Annual,428,170,190,39,,,0.71,8.1,11.4,138.836205,102.2944717,4.48849838,1.782814777,1.992557692,0.408998684,13239,9754,North Carolina
NC,2011,Annual,439,155,204,82,,,0.65,8.6,13,153.4057537,112.0765886,4.603856983,1.625507591,2.139377733,0.859945951,14628,10687,North Carolina
NC,2012,Annual,410,141,184,152,833,,0.64,8.6,13.3,179.6203281,132.4466412,4.299729757,1.47868755,1.929634818,1.594046154,17128,12629,North Carolina
NC,2013,Annual,397,116,164,189,,,0.66,8.7,12.9,208.47965,162.6388293,4.163396862,1.216508907,1.719891903,1.982070546,19880,15508,North Carolina
NC,2014,Annual,,217,131,266,,,0.71,10,13.8,220.0033412,178.423133,,2.275710627,1.373816093,2.789580769,20978,17014,North Carolina
NC,2015,Annual,,300,108,393,,,0.75,11.9,,256.6969926,210.7104701,,3.146143724,1.132611741,4.121448279,24477,20092,North Carolina
NC,2016,Annual,,601,118,544,,,0.77,,,320.1038374,261.3332477,,6.302774595,1.237483198,5.705007287,30523,24919,North Carolina
NC,2017,Annual,,1285,103,537,,,,,,313.3786066,273.6048736,,13.47598229,1.080176012,5.631597267,29882,26090,North Carolina
NC,2018,Annual,422,1272,76,619,,,0.79,,,,,4.425575506,13.33964939,0.797023077,6.491543218,,,North Carolina
ND,2005,Annual,,,,,,12,,,,,,,,,,,,North Dakota
ND,2006,Annual,,,,,,14,,,,,,,,,,,,North Dakota
ND,2007,Annual,,,,,,32,0.53,,4.8,,,,,,,,,North Dakota
ND,2008,Annual,13,,,,,46,0.7,5.1,,,,1.93282396,,,,,,North Dakota
ND,2009,Annual,,,,,,27,0.63,,,,,,,,,,,North Dakota
ND,2010,Annual,12,,,,18,23,,,,,,1.784145194,,,,,,North Dakota
ND,2011,Annual,,,,,10,16,0.63,,,156.6038479,86.90620674,,,,,1053,585,North Dakota
ND,2012,Annual,,,,,,21,,,,207.8134671,71.20782745,,,,,1398,479,North Dakota
ND,2013,Annual,,,,,,20,0.55,,,159.3484927,83.40788186,,,,,1072,561,North Dakota
ND,2014,Annual,17,10,,,,43,0.72,4.5,6.3,161.5275334,100.3317454,2.527539024,1.486787661,,,1086,675,North Dakota
ND,2015,Annual,15,,,,34,61,0.56,4.8,8.6,201.1188449,117.9787888,2.230181492,,,,1353,794,North Dakota
ND,2016,Annual,17,15,,12,54,77,0.7,7.6,10.6,291.3711555,177.1715949,2.527539024,2.230181492,,1.784145194,1960,1192,North Dakota
ND,2017,Annual,18,12,,,,68,0.51,4.8,,284.0420916,165.7777046,2.676217791,1.784145194,,,1910,1115,North Dakota
ND,2018,Annual,20,,,,,70,0.51,5.2,10.2,264.7325345,130.0345848,2.973575323,,,,1781,875,North Dakota
NE,2005,Annual,25,,12,,43,86,0.5,2.5,5,53.65843589,29.31697638,1.368857185,,0.657051449,,980,535,Nebraska
NE,2006,Annual,18,,10,,34,91,0.37,1.9,5.4,55.20405479,30.18160615,0.985577173,,0.547542874,,1008,551,Nebraska
NE,2007,Annual,23,,13,,,80,0.49,2.4,4.8,64.06119333,33.26468339,1.25934861,,0.711805736,,1170,608,Nebraska
NE,2008,Annual,14,,10,,29,94,0.31,,5.5,69.1125926,31.92119699,0.766560024,,0.547542874,,1262,583,Nebraska
NE,2009,Annual,35,11,19,,,106,0.62,3.7,5.9,72.75722555,34.25592777,1.916400059,0.602297161,1.040331461,,1329,626,Nebraska
NE,2010,Annual,33,21,14,,,117,0.5,3.4,,87.83268875,40.92596548,1.806891484,1.149840035,0.766560024,,1604,747,Nebraska
NE,2011,Annual,33,,18,,53,129,0.41,2.8,7.1,89.93407558,51.68756742,1.806891484,,0.985577173,,1643,944,Nebraska
NE,2012,Annual,27,10,22,,53,146,0.36,3,,91.31595671,53.45522438,1.47836576,0.547542874,1.204594323,,1668,976,Nebraska
NE,2013,Annual,33,,,,,117,0.35,2.2,,90.98591805,53.27740076,1.806891484,,,,1662,973,Nebraska
NE,2014,Annual,30,13,,,,125,0.45,,,78.55332723,52.75324957,1.642628622,0.711805736,,,1435,963,Nebraska
NE,2015,Annual,30,13,12,,55,126,0.44,3.1,,99.55950088,56.42372244,1.642628622,0.711805736,0.657051449,,1818,1030,Nebraska
NE,2016,Annual,,13,,,44,120,0.37,2.4,6.4,160.2316173,85.81740165,,0.711805736,,,2926,1567,Nebraska
NE,2017,Annual,32,25,,,59,152,0.39,3.1,8.1,168.4928942,80.83297069,1.752137197,1.368857185,,,3077,1476,Nebraska
NE,2018,Annual,37,26,,,,138,0.46,3.3,,162.0291891,81.91553393,2.025908634,1.423611472,,,2959,1496,Nebraska
NH,2005,Annual,23,11,51,,109,142,0.77,8.2,10.7,,,1.747096402,0.835567844,3.873996369,,,,New Hampshire
NH,2006,Annual,37,14,43,,104,149,0.7,7.9,11.2,,,2.810546385,1.063449984,3.266310664,,,,New Hampshire
NH,2007,Annual,54,16,65,,,186,,10.9,13.8,,,4.101878508,1.21537141,4.937446353,,,,New Hampshire
NH,2008,Annual,48,14,21,11,,126,0.75,7,9.4,,,3.64611423,1.063449984,1.595174976,0.835567844,,,New Hampshire
NH,2009,Annual,45,22,45,24,,168,0.75,9.5,,,,3.41823209,1.671135689,3.41823209,1.823057115,,,New Hampshire
NH,2010,Annual,61,22,31,13,116,160,0.73,8.9,11.8,,,4.6336035,1.671135689,2.354782107,0.987489271,,,New Hampshire
NH,2011,Annual,65,27,31,42,,210,0.73,11.5,15.3,,,4.937446353,2.050939254,2.354782107,3.190349951,,,New Hampshire
NH,2012,Annual,56,24,27,39,133,173,0.77,10.5,,,,4.253799935,1.823057115,2.050939254,2.962467812,,,New Hampshire
NH,2013,Annual,62,30,14,67,,203,0.77,11.8,,,,4.709564213,2.278821394,1.063449984,5.089367779,,,New Hampshire
NH,2014,Annual,81,151,29,98,,334,,,,,,6.152817763,11.47006768,2.20286068,7.444149886,,,New Hampshire
NH,2015,Annual,,285,25,78,,422,,,,,,,21.64880324,1.899017828,5.924935623,,,New Hampshire
NH,2016,Annual,,363,29,34,,,,,,,,,27.57373886,2.20286068,2.582664246,,,New Hampshire
NH,2017,Annual,51,374,15,28,,,,,,,,3.873996369,28.40930671,1.139410697,2.126899967,,,New Hampshire
NH,2018,Annual,34,386,,12,,452,,,,,,2.582664246,29.32083526,,0.911528557,,,New Hampshire
NJ,2005,Annual,126,25,77,168,435,,0.53,5,9.4,232.9064611,109.3948447,1.433138298,0.284352837,0.875806737,1.910851063,20477,9618,New Jersey
NJ,2006,Annual,140,38,72,106,372,,0.44,4.3,9.7,231.8500549,118.4625642,1.592375886,0.432216312,0.81893617,1.205656028,20384,10415,New Jersey
NJ,2007,Annual,134,33,78,103,,727,0.47,3.9,8.4,228.9439403,104.6913767,1.524131205,0.375345745,0.887180851,1.171533688,20129,9204,New Jersey
NJ,2008,Annual,124,19,52,116,331,,0.47,3.8,8,240.3200283,126.7026279,1.410390071,0.216108156,0.591453901,1.319397163,21129,11140,New Jersey
NJ,2009,Annual,14,,,19,55,263,,0.7,,252.7433116,144.8421478,0.159237589,,,0.216108156,22221,12734,New Jersey
NJ,2010,Annual,173,35,47,97,,868,0.43,4.2,9.8,254.0900217,149.8613547,1.967721631,0.398093972,0.534583333,1.103289007,22339,13176,New Jersey
NJ,2011,Annual,220,31,61,131,,,0.45,5.1,11.3,261.0526621,171.5839457,2.502304964,0.352597518,0.693820922,1.490008865,22951,15085,New Jersey
NJ,2012,Annual,217,38,68,304,602,,0.49,6.8,13.7,276.3602877,208.2930432,2.468182624,0.432216312,0.773439716,3.457730496,24297,18313,New Jersey
NJ,2013,Annual,231,57,67,383,,,0.52,7.6,14.5,280.3438568,206.1730263,2.627420212,0.648324468,0.762065603,4.35628546,24648,18127,New Jersey
NJ,2014,Annual,245,111,50,424,,,0.58,8.2,,288.6805172,214.5472037,2.786657801,1.262526596,0.568705674,4.822624113,25380,18863,New Jersey
NJ,2015,Annual,237,243,55,508,,,,9.8,,310.5051764,255.4731494,2.695664893,2.763909574,0.625576241,5.778049644,27299,22461,New Jersey
NJ,2016,Annual,,689,84,850,,,0.69,16,,352.2288989,334.4299121,,7.836764183,0.955425532,9.667996452,30968,29403,New Jersey
NJ,2017,Annual,,1376,82,1085,,,0.73,,,351.4050054,386.2422038,,15.65078014,0.932677305,12.34091312,30895,33958,New Jersey
NJ,2018,Annual,412,2219,122,1287,,,,,,,,4.686134751,25.2391578,1.387641844,14.63848404,,,New Jersey
NM,2005,Annual,130,12,28,45,211,,0.57,11.4,20.1,,,6.313195696,0.582756526,1.359765227,2.185336972,,,New Mexico
NM,2006,Annual,165,24,56,21,243,418,0.58,12.5,21.8,,,8.012902229,1.165513052,2.719530454,1.01982392,,,New Mexico
NM,2007,Annual,175,19,52,28,,,0.58,13.5,,,,8.498532668,0.922697832,2.525278278,1.359765227,,,New Mexico
NM,2008,Annual,204,22,52,65,,518,0.63,,,124.4343039,,9.906860938,1.068386964,2.525278278,3.156597848,2562,,New Mexico
NM,2009,Annual,119,24,21,48,,438,0.46,10.2,,172.2606908,,5.779002214,1.165513052,1.01982392,2.331026103,3547,,New Mexico
NM,2010,Annual,114,20,29,21,,,0.4,9.5,,191.3892209,,5.536186995,0.971260876,1.408328271,1.01982392,3941,,New Mexico
NM,2011,Annual,127,20,31,68,243,,0.46,11.9,26.3,211.5991854,,6.167506565,0.971260876,1.505454358,3.302286979,4357,,New Mexico
NM,2012,Annual,179,37,35,104,319,,0.65,16.1,,205.5461483,,8.692784843,1.796832621,1.699706534,5.050556557,4233,,New Mexico
NM,2013,Annual,209,23,28,89,,458,0.7,16,,207.8773372,,10.14967616,1.116950008,1.359765227,4.3221109,4281,,New Mexico
NM,2014,Annual,223,66,45,139,,,0.73,,,215.4490651,,10.82955877,3.205160892,2.185336972,6.75026309,4436,,New Mexico
NM,2015,Annual,,42,33,156,,,0.7,,,234.2212609,,,2.03964784,1.602580446,7.575834835,4823,,New Mexico
NM,2016,Annual,153,78,41,161,,500,0.7,,,314.4194874,,7.430145704,3.787917418,1.991084796,7.818650054,6474,,New Mexico
NM,2017,Annual,144,75,33,144,,,0.67,,,354.3744352,,6.993078309,3.642228286,1.602580446,6.993078309,7297,,New Mexico
NM,2018,Annual,133,105,52,130,,537,0.63,,,357.6070167,,6.458884827,5.099119601,2.525278278,6.313195696,7364,,New Mexico
NV,2005,Annual,153,29,93,46,323,457,0.71,13.1,18.7,106.9419141,,5.665510483,1.073854928,3.443741666,1.703356093,2888,,Nevada
NV,2006,Annual,174,27,108,36,343,,0.74,13.4,18,116.9125129,,6.443129569,0.999795968,3.99918387,1.33306129,3157,,Nevada
NV,2007,Annual,187,23,124,42,,499,0.75,14.2,18.9,119.1408687,,6.924512812,0.851678046,4.591655555,1.555238172,3217,,Nevada
NV,2008,Annual,214,27,112,31,,,0.76,14.7,,126.125634,,7.92430878,0.999795968,4.147301791,1.147913889,3406,,Nevada
NV,2009,Annual,256,42,126,22,,,0.8,15.9,20.1,137.8150409,,9.479546952,1.555238172,4.665714515,0.814648566,3722,,Nevada
NV,2010,Annual,300,39,99,19,,,0.76,15.8,,145.1462456,125.4818677,11.10884408,1.444149731,3.665918548,0.703560125,3920,3389,Nevada
