State,Year,TimeInterval,Opioid Prescription Rate Per 100 population,Number of Crime Incident Related to Any Drug Type,Number of Crime Incident Related to Heroin,Number of Crime Incident Related to Narcotics,Number of Crime Incident Related to All Types of Opioid,Number of Crime Incident Related to Cocaine,Number of Crime Incident Related to Heroin Morphine And Opium,Number of Crime Incident Related to Other Opioid,Crime Incident Rate per 100000 population Related to Any Drug Type,Crime Incident Rate per 100000 population Related to Heroin,Crime Incident Rate per 100000 population Related to Narcotics,Crime Incident Rate per 100000 population Related to All Types of Opioid,Crime Incident Rate per 100000 population Relate dto Cocaine,Crime Incident Rate per 100000 population Related to Heroin Morphine And Opium,Crime Inciden tRate per 100000 population Related to Other Opioid,Opioid Overdose Deaths by Natural and Semisynthetic Opioid,Opioid Overdose Deaths by Synthetic Opioids,Opioid Overdose Deaths by Methadone,Opioid Overdose Deaths by Heroin,All Opioid Overdose Deaths,All Drug Overdose Deaths,Opioid Overdose Deaths as Percentage of all Overdose Deaths,"Opioid Overdose Death Rate Per 100,000 (Age Adjusted)","All Drug Overdose Death Rate Per 100,00 (Age Adjusted)",Rate of Opioid Related Inpatient Hospital Visits,Rate of Opioid Related Emergency Department Visits,Rate of Opioid Overdose Deaths (Natural & Semisynthetic),Rate of Opioid Overdose Deaths (Synthetic Opioids),Rate of Opioid Overdose Deaths (Methadone),Rate of Opioid Overdose Deaths (Herion),Counts of Opioid Related Inpatient Hospital Visits,Counts of Opioid Related Emergency Department Visits,name
ID,2005,Annual,,6763,27,145,185,146,43,160,478.6141632,1.910776639,10.26157824,13.09235845,10.33234775,3.043088721,11.32312082,25,,13,,50,109,0.46,3.7,8.1,,,1.594812903,,0.82930271,,,,Idaho
ID,2006,Annual,75.6,7065,18,213,242,141,34,225,469.0188643,1.194952521,14.14027149,16.06547278,9.360461411,2.257132539,14.93690651,30,,35,,70,130,0.54,5,9.3,,,1.913775484,,2.232738064,,,,Idaho
ID,2007,Annual,78.8,7036,31,214,258,139,46,228,454.6312163,2.003065336,13.82761232,16.6706728,8.981486507,2.972290499,14.73222247,32,10,23,,62,126,0.49,4.3,8.6,,,2.041360516,0.637925161,1.467227871,,,,Idaho
ID,2008,Annual,82.7,6610,43,237,300,159,67,258,420.064465,2.732643267,15.06131289,19.06495302,10.1044251,4.257839509,16.3958596,47,,18,,,146,0.49,4.8,9.8,,,2.998248258,,1.14826529,,,,Idaho
ID,2009,Annual,85.2,6787,39,328,392,156,69,357,426.8472922,2.45278391,20.6285416,24.65362289,9.811135639,4.339540763,22.45240656,35,11,16,,62,171,0.36,4.2,,,,2.232738064,0.701717677,1.020680258,,,,Idaho
ID,2010,Annual,88.6,7316,41,397,476,111,85,437,457.2379975,2.562432736,24.81184869,29.74921908,6.937317895,5.312360551,27.31178307,42,14,26,,,178,0.44,5.3,11.8,,,2.679285677,0.893095226,1.658605419,,,,Idaho
ID,2011,Annual,91.4,7837,54,489,568,100,85,518,480.017444,3.307508227,29.9513245,34.79008654,6.125015236,5.206262951,31.72757892,45,,22,,,193,0.4,5.1,12.9,,,2.870663225,,1.403435355,,,,Idaho
ID,2012,Annual,92,7974,96,475,603,88,139,514,484.7970467,5.836533294,28.87868036,36.66072475,5.350155519,8.450813832,31.24977201,33,11,12,,59,181,0.33,3.9,,,,2.105153032,0.701717677,0.765510193,,,,Idaho
ID,2013,Annual,89.2,8668,96,439,580,99,155,490,521.3439463,5.773998482,26.40401389,34.88457416,5.954435934,9.322601716,29.47145058,51,14,11,,,,0.37,4.8,,,,3.253418322,0.893095226,0.701717677,,,,Idaho
ID,2014,Annual,87.4,8981,230,436,698,99,282,483,531.0923495,13.60107342,25.7829044,41.27630108,5.854375081,16.67609872,28.56225418,42,13,18,11,,212,0.37,5,13.7,,,2.679285677,0.82930271,1.14826529,0.701717677,,,Idaho
ID,2015,Annual,81.9,9740,402,493,918,131,451,534,571.0145063,23.56753917,28.90247963,53.81841035,7.679969233,26.44019942,31.30613413,51,16,12,16,,218,0.41,6,14.2,,,3.253418322,1.020680258,0.765510193,1.020680258,,,Idaho
ID,2016,Annual,77.6,11079,678,375,1064,159,722,413,658.234015,40.28185415,22.27978659,63.21518115,9.446629514,42.89601578,24.53747163,64,20,15,25,,243,0.49,,15.2,,,4.082721031,1.275850322,0.956887742,1.594812903,,,Idaho
ID,2017,Annual,70.3,12474,808,406,1226,199,849,449,727.7292618,47.1384675,23.68591312,71.52445687,11.60959781,49.53039469,26.19451969,55,22,14,23,,236,0.44,6.2,14.4,,,3.508588386,1.403435355,0.893095226,1.467227871,,,Idaho
ID,2018,Annual,61.9,13772,1006,435,1443,215,1047,479,785.6613943,57.39002053,24.81576434,82.31988034,12.26526284,59.72897762,27.32586464,68,28,10,29,120,250,0.48,7.1,,,,4.337891096,1.786190451,0.637925161,1.849982967,,,Idaho
IL,2005,Annual,,,,,,,,,,,,,,,,96,59,81,49,590,1067,0.55,4.7,8.4,274.2904113,,0.748209441,0.459837052,0.631301716,0.381898569,35193,,Illinois
IL,2006,Annual,55.6,1253,73,20,91,502,74,20,815.0229611,47.48338082,13.00914543,59.1916117,326.5295503,48.13383809,13.00914543,107,375,91,63,870,,0.64,6.9,10.9,277.3362137,,0.833941773,2.92269313,0.7092402,0.491012446,35584,,Illinois
IL,2007,Annual,59.2,1267,73,23,96,457,73,24,813.6764432,46.88112104,14.77076416,61.6518852,293.4886618,46.88112104,15.4129713,144,101,98,63,691,,0.58,5.5,9.4,281.1724249,,1.122314162,0.787178683,0.763797138,0.491012446,36076,,Illinois
IL,2008,Annual,60.2,947,80,25,105,320,80,25,602.1798019,50.8705218,15.89703806,66.76755987,203.4820872,50.8705218,15.89703806,178,83,83,107,,,0.63,6.7,10.6,304.0833979,,1.387305006,0.646889413,0.646889413,0.833941773,39016,,Illinois
IL,2009,Annual,61,892,81,37,117,232,82,38,564.7607048,51.28432409,23.42617273,74.07735702,146.8884344,51.9174639,24.05931254,195,111,88,116,,,0.64,6.9,,324.3216881,92.54197488,1.519800428,0.865117166,0.685858655,0.904086408,41613,11874,Illinois
IL,2010,Annual,63.1,782,56,29,85,204,57,30,511.5424116,36.63219316,18.97024288,55.60243604,133.4458465,37.28633946,19.62438919,175,115,79,150,,,0.67,6.8,,331.374477,102.9340455,1.363923461,0.89629256,0.615714019,1.169077252,42517,13207,Illinois
IL,2011,Annual,64.3,740,72,23,95,186,74,25,482.6160398,46.95723631,15.00022826,61.95746457,121.3061938,48.26160398,16.30459594,165,86,84,168,,,0.64,7.1,10.9,345.8257948,116.630446,1.285984977,0.670270958,0.654683261,1.309366522,44372,14964,Illinois
IL,2012,Annual,66.1,721,76,24,98,170,77,25,473.4295076,49.90380385,15.75909595,64.34964181,111.6269297,50.56043285,16.41572495,175,84,105,269,1151,,0.71,8.9,,315.3664251,144.6769511,1.363923461,0.654683261,0.818354076,2.096545205,40464,18563,Illinois
IL,2013,Annual,63.7,708,75,30,105,170,75,30,471.3495376,49.93109509,19.97243804,69.90353312,113.1771489,49.93109509,19.97243804,185,87,92,583,,,0.68,8.3,12.1,256.989197,152.7302516,1.441861944,0.678064806,0.717034048,4.543813586,32973,19596,Illinois
IL,2014,Annual,62.3,678,69,22,91,155,69,22,453.2509727,46.12731138,14.7072587,60.83457008,103.6193227,46.12731138,14.7072587,253,127,106,711,,,0.71,9.4,,306.5646582,169.065113,1.971843632,0.98981874,0.826147925,5.541426174,39334,21692,Illinois
IL,2015,Annual,59.1,541,54,21,75,141,55,23,365.1014321,36.4426568,14.17214431,50.61480112,95.1558261,37.11752082,15.52187234,,278,99,844,,,0.75,10.7,14.1,327.0260885,182.1855446,,2.16668984,0.771590986,6.578008005,41960,23376,Illinois
IL,2016,Annual,56.8,474,59,25,83,116,60,26,321.6546894,40.03718708,16.96490978,56.32350047,78.71718138,40.71578347,17.64350617,,907,123,1040,,,,,18.9,362.8264305,231.2788699,,7.06902045,0.958643347,8.105602281,46553,29675,Illinois
IL,2017,Annual,51.1,541,76,22,98,123,79,25,368.6039381,51.78169926,14.98943926,66.77113852,83.80459222,53.8257137,17.0334537,,1251,155,1187,,,0.79,,,348.3458208,259.7145436,,9.750104282,1.208046494,9.251297988,44695,33323,Illinois
IL,2018,Annual,45.2,666,67,24,91,118,67,24,455.5465875,45.8282603,16.41609324,62.24435355,80.71245845,45.8282603,16.41609324,407,1568,155,1050,,,0.8,,,317.4160827,252.8664371,3.172096277,12.22075421,1.208046494,8.183540764,40726,32444,Illinois
IN,2005,Annual,,,,,,,,,,,,,,,,59,26,51,15,160,610,0.26,2.6,9.8,114.2541981,55.00629571,0.909959928,0.40099929,0.786575531,0.231345744,7408,3566,Indiana
IN,2006,Annual,94.3,,,,,,,,,,,,,,,49,48,49,,176,,0.24,2.8,11.8,114.424045,59.62528696,0.755729432,0.740306382,0.755729432,,7419,3866,Indiana
IN,2007,Annual,99.7,,,,,,,,,,,,,,,81,51,79,18,,781,0.31,3.9,12.4,121.1310869,75.39977352,1.24926702,0.786575531,1.21842092,0.277614893,7854,4889,Indiana
IN,2008,Annual,103.3,,,,,,,,,,,,,,,109,54,84,56,,,0.37,5,13.2,132.7212192,91.94391013,1.681112409,0.83284468,1.295536168,0.863690779,8605,5961,Indiana
IN,2009,Annual,105.6,,,,,,,,,,,,,,,148,64,80,63,319,,0.36,5,,148.8889464,98.52146473,2.282611344,0.987075176,1.23384397,0.971652126,9654,6388,Indiana
IN,2010,Annual,107.1,,,,,,,,,,,,,,,140,49,62,56,,,0.31,4.5,14.4,157.1318022,116.9083814,2.159226947,0.755729432,0.956229077,0.863690779,10188,7580,Indiana
IN,2011,Annual,106.7,,,,,,,,,,,,,,,173,40,57,68,,,0.37,5.6,15.3,177.4433335,125.9211479,2.668187585,0.616921985,0.879113829,1.048767374,11505,8164,Indiana
IN,2012,Annual,110.5,,,,,,,,,,,,,,,136,43,46,114,375,1011,0.37,5.9,16,180.6651962,133.3801211,2.097534749,0.663191134,0.709460283,1.758227657,11714,8648,Indiana
IN,2013,Annual,106.3,,,,,,,,,,,,,,,111,34,34,160,,,,5.7,,192.5500414,138.5619801,1.711958508,0.524383687,0.524383687,2.46768794,12485,8984,Indiana
IN,2014,Annual,96.7,,,,,,,,,,,,,,,,83,37,173,,,0.39,7.3,,196.8551327,152.3269973,,1.280113119,0.570652836,2.668187585,12764,9877,Indiana
IN,2015,Annual,89.1,,,,,,,,,,,,,,,146,120,36,240,,,0.43,8.5,19.5,225.977877,205.9519007,2.251765245,1.850765955,0.555229786,3.70153191,14652,13354,Indiana
IN,2016,Annual,83.9,,,,,,,,,,,,,,,231,304,34,297,,,0.52,12.6,,285.5499912,288.5883226,3.562724463,4.688607086,0.524383687,4.580645738,18514,18711,Indiana
IN,2017,Annual,74.2,,,,,,,,,,,,,,,,649,49,327,,,0.63,,,294.1083234,288.7068832,,10.00955921,0.755729432,5.043337227,19069,18719,Indiana
IN,2018,Annual,65.8,,,,,,,,,,,,,,,323,713,55,311,,,0.68,,,,,4.981645029,10.99663438,0.848267729,4.796568433,,,Indiana
KS,2005,Annual,,10158,45,255,332,1660,77,287,513.1510749,2.273262293,12.88181966,16.77162403,83.85812014,3.889804368,14.49836174,52,17,45,,106,241,0.44,4.1,9.1,86.75321252,40.19660338,1.822567451,0.595839359,1.577221832,,2475,1147,Kansas
KS,2006,Annual,77.5,10611,10,212,245,1829,35,235,528.655036,0.498214151,10.56214001,12.20624671,91.12336829,1.74374953,11.70803256,62,19,44,,120,,0.47,4.5,9.5,92.24057124,36.40482109,2.173061191,0.665938107,1.542172458,,2632,1039,Kansas
KS,2007,Annual,80.6,11287,11,314,349,1667,35,338,560.1235875,0.545881055,15.58242283,17.31931709,82.72579253,1.736894264,16.77343604,57,19,45,,,270,0.43,4.4,,107.9592401,48.2699048,1.997814321,0.665938107,1.577221832,,3080,1377,Kansas
KS,2008,Annual,82.7,10132,27,388,461,1407,77,436,483.9062487,1.28952514,18.53095386,22.01744775,67.19858783,3.677534657,20.82344299,48,18,22,,,219,0.44,3.5,8,125.4410661,59.51417341,1.682369955,0.630888733,0.771086229,,3579,1698,Kansas
KS,2009,Annual,82.8,9955,23,533,598,1173,74,577,484.1876615,1.118665617,25.92385973,29.08530604,57.05194645,3.599185028,28.06391569,60,35,45,11,,304,0.49,5.5,11.1,127.2683467,73.48248658,2.102962443,1.226728092,1.577221832,0.385543115,3631,2097,Kansas
KS,2010,Annual,86.1,11491,43,626,724,1126,105,682,527.8551423,1.975265087,28.75618476,33.25795171,51.72438345,4.823321725,31.32862302,52,18,27,,104,269,0.39,3.8,9.6,127.6820923,77.51902446,1.822567451,0.630888733,0.946333099,,3643,2212,Kansas
KS,2011,Annual,87.8,11576,67,665,777,1128,121,710,521.4221817,3.017906546,29.95384855,34.99870725,50.80893408,5.450249135,31.98080071,70,23,27,,,280,0.42,4.3,10.1,121.9234083,83.50000031,2.453456184,0.806135603,0.946333099,,3479,2382,Kansas
KS,2012,Annual,90.3,11791,79,743,884,860,156,809,529.368955,3.546785468,33.3577418,39.68808042,38.61057598,7.003778898,36.32087903,88,44,33,16,171,,0.54,6.3,11.5,120.5982338,82.11011014,3.084344917,1.542172458,1.156629344,0.560789985,3441,2343,Kansas
KS,2013,Annual,88.7,12063,64,729,859,618,146,797,545.1432182,2.892246204,32.94449192,38.81936702,27.92825241,6.597936653,36.01750351,88,37,30,12,158,331,0.48,5.7,12,110.2427451,83.0649202,3.084344917,1.29682684,1.051481222,0.420592489,3145,2370,Kansas
KS,2014,Annual,86.5,11451,64,635,765,447,142,703,550.0972314,3.074510768,30.50491153,36.75001153,21.47353615,6.821570768,33.77157922,,39,34,19,,332,0.52,6,11.7,104.297011,81.84897302,,1.366925588,1.191678718,0.665938107,2976,2335,Kansas
KS,2015,Annual,80.5,11926,80,681,841,460,172,766,577.7999996,3.875901389,32.99361058,40.74541336,22.28643299,8.333187987,37.1117558,,36,26,21,,329,0.46,5.4,11.8,118.4617521,81.03489643,,1.261777466,0.911283725,0.736036855,3380,2312,Kansas
KS,2016,Annual,76.9,12676,148,630,859,441,245,720,554.0086301,6.468387287,27.53435129,37.54286946,19.2740459,10.70780328,31.46783004,83,27,10,32,,313,0.47,5.1,11.1,169.8089154,141.8721921,2.909098046,0.946333099,0.350493741,1.12157997,4845,4048,Kansas
KS,2017,Annual,69.8,14873,223,638,948,543,328,735,615.3394234,9.226160924,26.39592229,39.22152716,22.46549499,13.57031741,30.40909542,,32,17,25,144,333,0.43,5.1,11.8,177.2853221,141.898172,,1.12157997,0.595839359,0.876234351,5058,4049,Kansas
KS,2018,Annual,64.3,15252,300,645,1034,530,411,747,716.3856063,14.0909836,30.29561474,48.56692348,24.89407103,19.30464754,35.08654917,73,50,14,33,,,0.45,5.7,12.4,180.303186,116.3270225,2.558604306,1.752468703,0.490691237,1.156629344,5144,3319,Kansas
KY,2005,Annual,,1627,8,135,154,263,20,146,946.5576021,4.654247583,78.54042796,89.59426597,153.0083893,11.63561896,84.94001838,128,31,156,,285,,0.45,6.8,15.3,166.2205915,,2.949738983,0.71438991,3.594994385,,7213,,Kentucky
KY,2006,Annual,122.6,1784,18,143,168,345,25,150,841.8112153,8.493610917,67.47702006,79.27370189,162.7942092,11.79668183,70.78009098,169,50,170,,331,,0.45,8,17.4,185.469312,,3.894577251,1.15224179,3.917622086,,8048,,Kentucky
KY,2007,Annual,130.8,1173,8,107,118,201,12,110,924.2187869,6.303282434,84.30640256,92.97341591,158.3699712,9.454923651,86.67013347,184,37,155,,343,,0.48,8.1,,194.4278047,,4.240249788,0.852658925,3.571949549,,8437,,Kentucky
KY,2008,Annual,136.6,1430,14,174,195,208,22,181,468.0131044,4.581946476,56.94704906,63.81996878,68.07463336,7.200201606,59.2380223,229,44,126,12,,,0.48,8.7,,210.1293221,103.7251167,5.277267399,1.013972775,2.903649311,0.27653803,9118,4501,Kentucky
KY,2009,Annual,135.2,18884,240,6054,6412,1882,451,6195,603.3022524,7.667471964,193.4119803,204.8492926,60.12575932,14.40845773,197.9166201,290,65,92,23,,769,0.56,10.2,18,225.6487692,132.6811189,6.683002383,1.497914327,2.120124894,0.530031223,9792,5758,Kentucky
KY,2010,Annual,136.5,19688,367,6375,6875,1577,586,6543,625.9418696,11.66805496,202.6807913,218.5773239,50.13766397,18.63073626,208.0220262,436,53,118,37,,,,14.1,,242.7581367,139.4716068,10.04754841,1.221376298,2.719290625,0.852658925,10534,6052,Kentucky
KY,2011,Annual,137,20221,504,6016,6700,1641,783,6230,473.3412282,11.7978329,140.824926,156.8362707,38.41318211,18.32877611,145.8343233,469,76,103,55,,1058,0.63,15.8,25,260.0221818,150.9711069,10.80802799,1.751407521,2.373618088,1.267465969,11283,6551,Kentucky
KY,2012,Annual,127.9,20838,1235,5457,6887,1748,1555,5732,484.3715896,28.70711744,126.8459432,160.0857634,40.63161237,36.14539888,133.2382163,391,70,79,143,673,,0.62,15.5,25,268.3292809,186.1399773,9.010530799,1.613138506,1.820542028,3.29541152,11644,8077,Kentucky
KY,2013,Annual,111.7,21409,2474,4845,7429,1844,2793,5106,487.9710987,56.38939223,110.4311259,169.3277263,42.02992695,63.66029608,116.3800472,349,76,70,215,,,0.65,15.5,,268.018952,192.2601521,8.042647695,1.751407521,1.613138506,4.954639697,11630,8343,Kentucky
KY,2014,Annual,110,23867,2916,4754,7818,1897,3303,5080,540.9740162,66.0946173,107.7550791,177.2042929,42.99776715,74.86643379,115.1442578,,179,59,228,,,0.68,,,280.3563669,219.7228145,,4.125025609,1.359645312,5.254222563,12166,9535,Kentucky
KY,2015,Annual,102.6,29720,3772,5025,8825,2380,4069,5294,669.7710812,85.00593937,113.2435963,198.8805448,53.63577299,91.69914298,119.3057908,,323,60,310,,,0.7,,,346.9261906,278.6561454,,7.443481964,1.382690148,7.143899099,15054,12092,Kentucky
KY,2016,Annual,97.2,30798,3885,4415,8379,2533,4219,4718,687.1098084,86.67516091,98.49957153,186.9372389,56.51175871,94.12677062,105.2595648,,465,48,311,,,0.7,,,411.0826256,374.9916923,,10.71584865,1.106152119,7.166943934,17838,16272,Kentucky
KY,2017,Annual,86.8,34106,3837,3111,7119,2518,4209,3448,765.6466949,86.13693685,69.83893942,159.8146608,56.52666328,94.48797686,77.4042633,,780,49,269,,1566,0.74,27.9,,445.3632056,395.9227653,,17.97497193,1.129196954,6.199060831,19326,17181,Kentucky
KY,2018,Annual,79.5,35267,3615,2584,6333,2581,3907,2857,790.8564109,81.06575341,57.94575569,142.0164361,57.8784812,87.6138032,64.06773374,290,744,37,140,,,0.75,,,443.2870155,322.6165443,6.683002383,17.14535784,0.852658925,3.226277012,19236,14000,Kentucky
LA,2005,Annual,,2227,0,106,122,479,17,122,563.0690423,0,26.80077166,30.84617116,121.1091474,4.298236964,30.84617116,54,,101,,172,661,0.26,3.8,14.7,,,1.191166311,,2.227922174,,,,Louisiana
LA,2006,Annual,109.2,2961,1,130,143,721,15,142,810.3315216,0.273668194,35.57686519,39.1345517,197.3147677,4.105022906,38.86088351,61,14,117,14,194,,0.28,4.6,16.5,,,1.345576758,0.308820895,2.58086034,0.308820895,,,Louisiana
LA,2007,Annual,110.1,3317,4,149,177,695,28,173,661.716593,0.797969964,29.72438117,35.31017093,138.6472813,5.585789751,34.51220096,88,21,106,,,,0.26,4.9,,,,1.941159914,0.463231343,2.338215351,,,,Louisiana
LA,2008,Annual,113.7,2913,4,127,137,460,10,133,575.8202919,0.790690411,25.10442055,27.08114658,90.92939728,1.976726028,26.29045617,59,10,47,14,130,,,2.9,14.9,156.6706547,,1.301459488,0.220586354,1.036755863,0.308820895,7102,,Louisiana
LA,2009,Annual,113,2982,5,186,210,452,27,205,630.721332,1.057547505,39.34076719,44.41699521,95.60229446,5.710756527,43.35944771,57,16,19,11,,,,2.8,,164.5079077,,1.257342217,0.352938166,0.419114072,0.242644989,7458,,Louisiana
LA,2010,Annual,112.6,3507,10,256,295,470,42,285,595.129004,1.696974634,43.44255062,50.06075169,79.75780778,7.127293461,48.36377706,68,21,18,14,123,,,2.8,13.2,161.0029532,,1.499987206,0.463231343,0.397055437,0.308820895,7299,,Louisiana
LA,2011,Annual,111.7,3369,6,253,286,468,34,280,485.7707664,0.865130483,36.47966871,41.23788637,67.4801777,4.902406072,40.37275589,58,20,14,17,116,601,0.19,2.5,13.5,172.5071778,,1.279400852,0.441172708,0.308820895,0.374996801,7820,,Louisiana
LA,2012,Annual,113,3327,17,152,191,353,39,174,524.0608018,2.677797905,23.94266362,30.08584705,55.60368591,6.143183429,27.40804915,75,19,26,51,169,,0.3,3.7,,152.8505947,,1.654397654,0.419114072,0.57352452,1.124990404,6929,,Louisiana
LA,2013,Annual,112.4,4371,19,260,307,429,47,288,669.951796,2.912167496,39.8507131,47.05449585,65.75367661,7.203782752,44.14232835,86,26,20,121,,,0.33,5.9,17.8,154.7101087,,1.897042643,0.57352452,0.441172708,2.669094881,7014,,Louisiana
LA,2014,Annual,108.9,4784,50,278,353,351,75,303,735.0083042,7.681942978,42.71160296,54.23451743,53.92723971,11.52291447,46.55257445,,29,20,107,,,0.33,5.7,16.9,156.5405701,,,0.639700426,0.441172708,2.360273986,7097,,Louisiana
LA,2015,Annual,100.4,5633,95,264,391,504,127,296,676.5903115,11.41063014,31.70954061,46.96375143,60.53639571,15.25421082,35.55312129,108,38,16,126,,,0.33,6.3,,204.4995525,,2.382332621,0.838228145,0.352938166,2.779388058,9271,,Louisiana
LA,2016,Annual,98.1,5667,86,207,315,424,108,229,655.6402182,9.94971921,23.94874275,36.44373897,49.05442959,12.49499622,26.49401976,111,89,16,149,,,0.35,7.7,21.8,287.7106339,,2.448508527,1.963218549,0.352938166,3.286736672,13043,,Louisiana
LA,2017,Annual,89.5,6021,100,237,362,439,125,262,660.3168336,10.96689642,25.99154452,39.70016505,48.1446753,13.70862053,28.73326863,161,156,10,162,,,0.37,9.3,,231.5082969,,3.551440297,3.44114712,0.220586354,3.573498932,10495,,Louisiana
LA,2018,Annual,79.4,6482,112,229,364,380,135,252,777.9327296,13.44160224,27.48327601,43.68520728,45.60543617,16.20193127,30.24360504,135,216,16,167,,,0.39,10,,240.2884513,,2.977915777,4.764665243,0.352938166,3.683792109,10893,,Louisiana
MA,2005,Annual,,12449,1626,689,2334,3588,1687,747,269.5975246,35.21291469,14.92109362,50.54547534,77.70229884,36.5339404,16.17715085,90,38,93,20,557,780,0.71,8.6,12,245.2252498,213.3614715,1.374543365,0.580362754,1.420361477,0.305454081,16056,13970,Massachusetts
MA,2006,Annual,66,13493,1528,882,2423,4074,1610,953,284.2730412,32.19218905,18.58214054,51.04821602,85.83179202,33.91978035,20.07798179,153,88,148,37,659,,0.68,10.1,14.7,259.0582163,210.1783237,2.336723721,1.343997957,2.260360201,0.56509005,16962,13762,Massachusetts
MA,2007,Annual,68.2,15285,1640,1063,2690,4041,1713,1127,303.3460348,32.54743193,21.09629277,53.38572676,80.19766611,33.99618957,22.36643645,170,74,125,68,,,0.7,9.9,,263.3858589,213.4151127,2.59635969,1.1301801,1.909088007,1.038543876,17246,13974,Massachusetts
MA,2008,Annual,69.2,15649,1852,1255,3099,3565,1972,1365,293.2427677,34.70417316,23.51713678,58.0713999,66.80365945,36.95282369,25.57839976,141,54,80,58,,,0.76,9.1,,250.9721108,231.0540588,2.153451272,0.824726019,1.221816325,0.885816835,16433,15129,Massachusetts
MA,2009,Annual,68.9,10785,1857,1437,3305,2807,2008,1576,195.5257331,33.66632233,26.05196833,59.91771421,50.8892659,36.40386389,28.57195691,153,63,116,61,,,0.76,9.4,12.2,277.6139639,262.9835524,2.336723721,0.962180356,1.771633671,0.931634948,18177,17219,Massachusetts
MA,2010,Annual,67.9,11425,1759,1770,3552,2792,1939,1929,208.5398197,32.10691841,32.30770073,64.83443672,50.96220364,35.3924473,35.20991792,170,68,83,68,,,0.74,8.3,,289.1201748,257.5281453,2.59635969,1.038543876,1.267634437,1.038543876,18931,16862,Massachusetts
MA,2011,Annual,65.9,11333,2135,1933,4074,2638,2316,2095,205.3844693,38.69194758,35.03116378,73.83184751,47.80766169,41.97215485,37.9670399,168,64,68,144,,,0.76,9.9,12.7,322.3578072,292.3249351,2.565814282,0.97745306,1.038543876,2.199269384,21107,19140,Massachusetts
MA,2012,Annual,65.7,11854,2798,2011,4817,2512,3021,2233,210.871836,49.77386513,35.77385374,85.69003156,44.68618628,53.7408315,39.72303103,171,67,86,246,691,,0.8,10.4,12.7,356.3884122,338.6406277,2.611632394,1.023271172,1.313452549,3.757085198,23335,22173,Massachusetts
MA,2013,Annual,63,11921,3236,2198,5332,2457,3395,2352,206.7573455,56.12505411,38.12202378,92.47799398,42.61410938,58.88274373,40.7929936,179,98,94,288,,,,13.3,16,366.9665056,376.1374437,2.733814026,1.496724998,1.435634181,4.398538769,24028,24628,Massachusetts
MA,2014,Annual,59.6,11244,3577,1981,5394,2478,3705,2102,196.0757985,62.37665701,34.54519361,94.06197593,43.21200896,64.60875432,36.6552231,178,453,88,469,,,,,,393.6626803,450.1655101,2.718541322,6.918534938,1.343997957,7.162898203,25776,29475,Massachusetts
MA,2015,Annual,54,10780,3774,1992,5620,2468,3926,2135,186.7431748,65.37743429,34.50764417,97.35590373,42.75344669,68.0105477,36.98484955,,949,82,634,,,,,,398.4893681,546.4387143,,14.49379615,1.252361733,9.682894373,26092,35779,Massachusetts
MA,2016,Annual,47.1,10208,3342,1939,5145,2723,3468,2067,173.8762811,56.92540472,33.02763607,87.63650727,46.38177052,59.0716049,35.20790292,,1550,95,630,,,,,,452.4676551,570.3333527,,23.67269129,1.450906886,9.621803557,29626,37343,Massachusetts
MA,2017,Annual,40.1,9653,3095,1972,4906,3084,3180,2054,163.3555563,52.37599159,33.37171419,83.02313885,52.18984105,53.81442755,34.75938182,254,1649,79,466,,,,,,463.7651314,527.1201672,3.879266831,25.18468899,1.206543621,7.117080091,30366,34514,Massachusetts
MA,2018,Annual,35.3,9030,2619,1895,4394,3074,2703,1972,152.2690106,44.16307185,31.95457089,74.09413429,51.83554137,45.57952776,33.25298881,253,1806,88,475,,,,,,,,3.863994127,27.58250353,1.343997957,7.254534428,,,Massachusetts
MD,2005,Annual,,,,,,,,,,,,,,,,90,21,145,79,495,,0.75,8.6,11.4,416.9199798,180.5282607,1.558832414,0.363727563,2.511452222,1.368308452,24071,10423,Maryland
MD,2006,Annual,60.1,,,,,,,,,,,,,,,109,53,178,111,565,,0.74,9.7,13.2,428.6667784,169.7688457,1.887919257,0.917979088,3.083024107,1.922559977,24749,9802,Maryland
MD,2007,Annual,63.3,,,,,,,,,,,,,,,132,35,201,129,,769,,10.3,13.2,415.3582447,159.90094,2.28628754,0.606212605,3.481392391,2.23432646,23981,9232,Maryland
MD,2008,Annual,65.5,,,,,,,,,,,,,,,173,35,154,105,,,0.74,8.7,11.8,429.0330302,152.8497428,2.996422306,0.606212605,2.667335464,1.818637816,24770,8825,Maryland
MD,2009,Annual,66.9,,,,,,,,,,,,,,,192,52,136,156,,,0.79,9.9,,447.2123241,166.1255785,3.325509149,0.900658728,2.355568981,2.701976184,25820,9591,Maryland
MD,2010,Annual,71.2,,,,,,,,,,,,,,,205,51,172,94,,650,,8.7,,439.2980235,175.0654568,3.550673831,0.883338368,2.979101946,1.628113854,25363,10107,Maryland
MD,2011,Annual,72.9,,,,,,,,,,,,,,,238,56,167,103,,707,0.77,9.1,11.7,428.2692807,200.3294824,4.122245716,0.969940169,2.892500145,1.783997096,24726,11566,Maryland
MD,2012,Annual,72.2,,,,,,,,,,,,,,,258,52,170,173,657,,0.79,10.9,13.7,421.4172964,230.009675,4.468652919,0.900658728,2.944461226,2.996422306,24331,13280,Maryland
